"","sample","total_peaks","OtoC_weightedMean","HtoC_weightedMean","OtoC_mean","HtoC_mean","CHO","CHON","CHOS","CHOP","CHONS","CHONP","CHOSP","CHONSP","Molecular_NA","Lipids","UnSaturated_Hydrocarbons","Condensed_Hydrocarbons","Proteins","Amino_Sugars","Carbohydrates","Lignin","Tannins","Compounds_NA","Aliphatics","AliphaticsN","Saturated","Condensed_Aromatics","Aromatic","LigninPhenolics","Aromaticity_NA"
"49","X.out53.",2514,0.392217742516493,1.14298004049308,0.362517275143244,1.100341185875,77,175,168,94,174,204,97,151,1374,154,103,404,76,15,54,162,59,1487,112,138,212,1798,86,526,-358
"50","X.out54.",2353,0.326368101059045,1.19681145521638,0.381188325717862,1.02355186762186,76,124,163,55,189,183,76,199,1288,137,115,434,60,19,36,109,22,1421,87,106,225,1715,68,456,-304
"51","X.out55.",2019,0.319902186102152,1.30191270402879,0.318988296008902,1.21736225779374,50,128,90,56,155,169,57,103,1211,153,88,247,66,9,31,90,20,1315,99,114,168,1481,45,387,-275
"52","X.out56.",2289,0.381094954947345,1.20912284376026,0.36500286322372,1.11158470723904,58,102,130,48,187,173,62,122,1407,130,111,322,69,12,26,74,16,1529,85,100,200,1732,43,404,-275
"53","X.out57.",2797,0.354477812490338,1.04220582013226,0.3474292601955,1.12654777412932,100,250,172,63,203,197,78,107,1627,142,136,386,81,30,58,213,49,1702,103,140,179,2038,112,546,-321
"54","X.out58.",3804,0.343216465127442,1.27176799847224,0.315548610106281,1.24976501181996,136,250,180,86,335,338,116,175,2188,289,183,456,132,33,55,232,31,2393,165,211,367,2701,115,748,-503
"55","X.out59.",2920,0.298408084629961,1.402533225,0.303077083022859,1.30447484572691,113,259,151,79,221,290,76,146,1585,274,170,325,88,33,49,191,31,1759,151,181,318,1962,94,646,-432
"56","X.out6.",721,0.306774561553759,1.39974045668715,0.344872195661769,1.17399302946361,14,23,39,13,37,15,12,20,548,38,14,60,14,4,3,13,1,574,35,19,35,610,11,79,-68
"57","X.out60.",2957,0.369815459619456,1.67905373872703,0.311669866650215,1.45742080070371,133,228,113,59,313,298,71,109,1633,289,145,221,133,43,101,207,41,1777,175,219,354,1917,80,698,-486
"58","X.out7.",1649,0.262207990524167,1.4728797343371,0.299904857325353,1.29313862377533,55,124,146,49,125,99,45,72,934,162,93,165,82,12,13,110,16,996,135,94,116,1108,44,417,-265
"59","X.out8.",1254,0.216893769649613,1.29392353374162,0.259079456298384,1.34601325139949,47,75,128,25,81,61,23,39,775,141,71,88,49,1,15,76,6,807,87,93,65,872,47,287,-197
"60","X.out9.",1292,0.197914522768669,1.41471309139323,0.259491565250834,1.33627897000672,56,98,118,38,95,93,46,52,696,161,106,124,41,8,7,73,16,756,88,78,123,827,51,323,-198
