"formula","site","depth","Suction_kPa"
"C9H5O4N3P1","PT","60-90",15
"C10H18O5S1","DMT","30-60",3
"C14H18O4","DMT","30-60",50
"C15H22O3","PT","180-210",1.5
"C15H22O3","PT","60-90",3
"C15H22O3","PT","60-90",1.5
"C15H22O3","PT","150-180",15
"C15H22O3","DMT","30-60",3
"C15H22O3","PT","30-60",3
"C15H22O3","PT","120-150",50
"C15H22O3","PT","0-30",50
"C15H22O3","DMT","0-30",1.5
"C15H22O3","GS","60-90",3
"C15H22O3","PT","210-240",1.5
"C15H22O3","PT","60-90",15
"C15H22O3","PT","90-120",50
"C15H22O3","PT","90-120",15
"C15H22O3","GS","30-60",1.5
"C15H22O3","DMT","30-60",50
"C15H22O3","GS","30-60",3
"C13H16O3S1","GS","60-90",3
"C13H16O5","PT","180-210",3
"C13H16O5","GS","30-60",15
"C13H16O5","PT","210-240",50
"C13H16O5","PT","180-210",15
"C14H20O4","PT","120-150",50
"C14H20O4","PT","210-240",1.5
"C14H20O4","DMT","30-60",50
"C15H10S2","PT","180-210",50
"C12H14O4S1","GS","60-90",3
"C13H18O3S1","PT","120-150",50
"C13H18O3S1","PT","0-30",50
"C13H18O3S1","GS","60-90",3
"C13H18O3S1","DMT","30-60",50
"C14H22O4","GS","60-90",3
"C14H22O4","PT","60-90",15
"C16H30O2","GS","30-60",3
"C16H30O2","GS","0-30",1.5
"C16H30O2","PT","120-150",1.5
"C16H30O2","GS","60-90",1.5
"C16H30O2","PT","180-210",1.5
"C16H30O2","PT","60-90",1.5
"C16H30O2","DMT","30-60",3
"C16H30O2","PT","30-60",1.5
"C16H30O2","DMT","0-30",1.5
"C16H30O2","PT","60-90",15
"C16H30O2","PT","0-30",50
"C16H30O2","GS","30-60",1.5
"C16H30O2","GS","60-90",3
"C16H30O2","DMT","30-60",1.5
"C16H30O2","PT","150-180",15
"C16H30O2","PT","0-30",15
"C16H30O2","PT","150-180",50
"C16H30O2","PT","120-150",15
"C16H30O2","PT","210-240",50
"C16H30O2","DMT","0-30",15
"C16H30O2","DMT","0-30",3
"C16H30O2","PT","90-120",3
"C16H30O2","DMT","60-90",1.5
"C16H30O2","PT","90-120",1.5
"C16H30O2","DMT","30-60",15
"C8H3O5N1S1P1","PT","210-240",1.5
"C11H12O5S1","GS","60-90",1.5
"C11H12O5S1","PT","0-30",3
"C11H12O5S1","PT","30-60",1.5
"C11H12O5S1","PT","0-30",50
"C11H12O5S1","GS","0-30",3
"C11H12O5S1","PT","180-210",3
"C11H12O5S1","GS","60-90",3
"C11H12O5S1","DMT","30-60",50
"C11H12O5S1","DMT","30-60",1.5
"C11H12O5S1","PT","0-30",15
"C11H12O5S1","PT","150-180",50
"C11H12O5S1","PT","120-150",15
"C11H12O5S1","GS","30-60",15
"C11H12O5S1","DMT","0-30",15
"C11H12O5S1","GS","30-60",50
"C11H12O5S1","PT","180-210",50
"C11H12O5S1","DMT","0-30",3
"C11H12O5S1","PT","180-210",15
"C11H12O5S1","GS","30-60",1.5
"C11H12O5S1","DMT","30-60",15
"C12H16O4S1","PT","0-30",50
"C12H16O4S1","GS","60-90",3
"C12H16O4S1","PT","180-210",3
"C12H16O4S1","DMT","30-60",50
"C13H20O3S1","PT","120-150",15
"C13H20O3S1","DMT","0-30",15
"C13H20O3S1","DMT","0-30",3
"C12H28N6","PT","120-150",15
"C12H28N6","PT","180-210",3
"C16H32O2","GS","30-60",3
"C16H32O2","PT","150-180",1.5
"C16H32O2","GS","0-30",1.5
"C16H32O2","PT","120-150",1.5
"C16H32O2","GS","60-90",1.5
"C16H32O2","PT","180-210",1.5
"C16H32O2","PT","90-120",15
"C16H32O2","PT","60-90",3
"C16H32O2","PT","60-90",1.5
"C16H32O2","PT","0-30",1.5
"C16H32O2","PT","150-180",15
"C16H32O2","PT","0-30",3
"C16H32O2","PT","90-120",3
"C16H32O2","PT","30-60",50
"C16H32O2","DMT","30-60",3
"C16H32O2","PT","30-60",1.5
"C16H32O2","PT","120-150",15
"C16H32O2","PT","120-150",50
"C16H32O2","PT","0-30",50
"C16H32O2","PT","60-90",50
"C16H32O2","DMT","0-30",1.5
"C16H32O2","GS","60-90",3
"C16H32O2","PT","210-240",1.5
"C16H32O2","PT","60-90",15
"C16H32O2","GS","0-30",3
"C16H32O2","PT","120-150",3
"C16H32O2","PT","150-180",3
"C16H32O2","PT","180-210",3
"C16H32O2","PT","90-120",50
"C16H32O2","GS","30-60",1.5
"C16H32O2","DMT","30-60",50
"C16H32O2","DMT","30-60",1.5
"C16H32O2","PT","210-240",3
"C16H32O2","PT","0-30",15
"C16H32O2","PT","150-180",50
"C16H32O2","PT","180-210",50
"C16H32O2","GS","30-60",15
"C16H32O2","PT","210-240",50
"C16H32O2","DMT","0-30",15
"C16H32O2","GS","30-60",50
"C16H32O2","DMT","0-30",3
"C16H32O2","PT","30-60",15
"C16H32O2","PT","180-210",15
"C16H32O2","DMT","60-90",1.5
"C16H32O2","PT","90-120",1.5
"C16H32O2","DMT","30-60",15
"C8H2O4S2P1","DMT","30-60",3
"C11H15O4N1S1","GS","30-60",3
"C11H15O4N1S1","GS","0-30",1.5
"C11H15O4N1S1","PT","90-120",15
"C11H15O4N1S1","PT","150-180",15
"C11H15O4N1S1","PT","120-150",50
"C11H15O4N1S1","PT","0-30",50
"C11H15O4N1S1","PT","30-60",50
"C11H15O4N1S1","PT","60-90",50
"C11H15O4N1S1","GS","60-90",3
"C11H15O4N1S1","PT","210-240",1.5
"C11H15O4N1S1","PT","60-90",15
"C11H15O4N1S1","PT","180-210",3
"C11H15O4N1S1","PT","120-150",3
"C11H15O4N1S1","PT","60-90",3
"C11H15O4N1S1","GS","30-60",1.5
"C11H15O4N1S1","DMT","30-60",50
"C11H15O4N1S1","DMT","30-60",1.5
"C11H15O4N1S1","PT","210-240",3
"C11H15O4N1S1","PT","0-30",15
"C11H15O4N1S1","PT","150-180",50
"C11H15O4N1S1","PT","180-210",50
"C11H15O4N1S1","PT","150-180",3
"C11H15O4N1S1","PT","120-150",15
"C11H15O4N1S1","GS","30-60",15
"C11H15O4N1S1","PT","210-240",50
"C11H15O4N1S1","GS","30-60",50
"C11H15O4N1S1","PT","30-60",15
"C11H15O4N1S1","PT","180-210",15
"C11H15O4N1S1","PT","120-150",1.5
"C11H15O4N1S1","PT","90-120",3
"C11H15O4N1S1","PT","30-60",1.5
"C11H15O4N1S1","PT","90-120",1.5
