"formula","site","depth","Suction_kPa"
"C23H24O1P2","DMT","30-60",50
"C23H24O1P2","GS","30-60",15
"C23H24O1P2","PT","210-240",50
"C23H24O1P2","DMT","0-30",15
"C23H24O1P2","GS","30-60",50
"C23H24O1P2","DMT","0-30",3
"C23H24O1P2","PT","0-30",15
"C18H22O7N2","PT","0-30",50
"C18H22O7N2","GS","60-90",3
"C18H22O7N2","PT","210-240",1.5
"C18H22O7N2","PT","180-210",3
"C18H22O7N2","PT","30-60",3
"C18H22O7N2","DMT","30-60",50
"C18H22O7N2","GS","30-60",15
"C23H22O5","GS","0-30",1.5
"C23H22O5","PT","120-150",1.5
"C23H22O5","GS","60-90",1.5
"C23H22O5","PT","60-90",3
"C23H22O5","PT","60-90",1.5
"C23H22O5","PT","0-30",3
"C23H22O5","PT","30-60",50
"C23H22O5","PT","120-150",15
"C23H22O5","PT","120-150",50
"C23H22O5","PT","0-30",50
"C23H22O5","PT","60-90",50
"C23H22O5","GS","60-90",3
"C23H22O5","GS","0-30",3
"C23H22O5","PT","150-180",3
"C23H22O5","PT","180-210",3
"C23H22O5","PT","60-90",15
"C23H22O5","GS","30-60",1.5
"C23H22O5","DMT","30-60",50
"C23H22O5","DMT","30-60",1.5
"C23H22O5","PT","0-30",15
"C23H22O5","PT","150-180",50
"C23H22O5","DMT","0-30",15
"C23H22O5","PT","180-210",50
"C23H22O5","DMT","0-30",3
"C23H22O5","DMT","30-60",15
"C24H28P2","PT","180-210",1.5
"C24H28P2","PT","90-120",15
"C24H28P2","PT","60-90",3
"C24H28P2","PT","0-30",1.5
"C24H28P2","PT","30-60",50
"C24H28P2","PT","120-150",50
"C24H28P2","PT","120-150",3
"C24H28P2","DMT","30-60",50
"C24H28P2","DMT","30-60",1.5
"C24H28P2","PT","150-180",50
"C24H28P2","GS","30-60",15
"C24H28P2","PT","210-240",50
"C24H28P2","GS","30-60",50
"C24H28P2","PT","180-210",50
"C20H26O7","PT","120-150",15
"C20H26O7","PT","0-30",50
"C20H26O7","DMT","0-30",1.5
"C20H26O7","GS","60-90",3
"C20H26O7","PT","210-240",1.5
"C20H26O7","PT","60-90",15
"C20H26O7","GS","30-60",1.5
"C20H26O7","PT","0-30",15
"C20H26O7","DMT","0-30",15
"C20H26O7","DMT","0-30",3
"C20H26O7","GS","30-60",3
"C18H22N10","PT","90-120",15
"C18H22N10","PT","60-90",3
"C18H22N10","PT","150-180",15
"C18H22N10","PT","30-60",50
"C18H22N10","PT","30-60",1.5
"C18H22N10","PT","120-150",15
"C18H22N10","PT","30-60",3
"C18H22N10","PT","120-150",50
"C18H22N10","PT","0-30",50
"C18H22N10","PT","60-90",50
"C18H22N10","GS","60-90",3
"C18H22N10","PT","210-240",1.5
"C18H22N10","PT","60-90",15
"C18H22N10","PT","180-210",3
"C18H22N10","GS","30-60",1.5
"C18H22N10","DMT","30-60",50
"C18H22N10","GS","30-60",15
"C18H22N10","PT","0-30",15
"C22H34O5","PT","90-120",15
"C22H34O5","PT","30-60",50
"C22H34O5","PT","30-60",3
"C22H34O5","PT","120-150",50
"C22H34O5","PT","0-30",50
"C22H34O5","PT","60-90",50
"C22H34O5","PT","60-90",15
"C10H5O5N1S5","PT","60-90",15
"C19H8O5S1P1","PT","0-30",50
"C21H17O6N1","PT","0-30",50
"C21H17O6N1","GS","60-90",3
"C21H17O6N1","PT","210-240",1.5
"C21H17O6N1","DMT","30-60",50
"C24H17N3S1","GS","30-60",15
"C24H17N3S1","PT","210-240",50
"C24H17N3S1","GS","30-60",50
"C25H33N1S1","GS","60-90",3
"C25H33N1S1","DMT","30-60",50
"C11H8O3S6","PT","90-120",15
"C11H8O3S6","PT","60-90",3
"C13H4O2N2S5","PT","90-120",15
"C13H4O2N2S5","PT","210-240",50
"C14H6O5S2P2","PT","120-150",15
"C14H6O5S2P2","PT","0-30",50
"C14H6O5S2P2","PT","60-90",15
"C14H6O5S2P2","PT","120-150",3
"C14H4O9S2","PT","210-240",1.5
"C14H6O7S1P2","DMT","30-60",15
"C12H6O3N4S2P2","PT","60-90",15
"C17H4O3N2S3","PT","210-240",1.5
"C10H8O10N2S2","DMT","0-30",3
"C18H4O10","PT","0-30",3
"C18H4O10","PT","120-150",15
"C18H4O10","PT","0-30",50
"C18H4O10","GS","60-90",3
"C18H4O10","PT","180-210",3
"C18H4O10","DMT","30-60",50
"C18H4O10","PT","0-30",15
"C18H4O10","GS","30-60",50
"C18H4O10","PT","180-210",50
"C21H16O7","PT","60-90",50
"C22H22O2P2","GS","30-60",15
"C22H22O2P2","PT","210-240",50
"C22H22O2P2","GS","30-60",50
"C18H20O9","DMT","0-30",15
"C18H20O9","DMT","0-30",3
"C23H26O1P2","GS","30-60",3
"C23H26O1P2","PT","90-120",15
"C23H26O1P2","PT","60-90",3
"C23H26O1P2","PT","0-30",1.5
"C23H26O1P2","PT","150-180",15
"C23H26O1P2","PT","30-60",50
"C23H26O1P2","PT","120-150",15
"C23H26O1P2","PT","30-60",3
"C23H26O1P2","PT","120-150",50
"C23H26O1P2","PT","0-30",50
"C23H26O1P2","PT","60-90",50
"C23H26O1P2","DMT","0-30",1.5
"C23H26O1P2","PT","210-240",1.5
"C23H26O1P2","PT","60-90",15
"C23H26O1P2","PT","120-150",3
"C23H26O1P2","PT","150-180",3
"C23H26O1P2","PT","180-210",3
"C23H26O1P2","GS","30-60",1.5
"C23H26O1P2","DMT","30-60",50
"C23H26O1P2","DMT","30-60",1.5
"C23H26O1P2","PT","0-30",15
"C23H26O1P2","GS","30-60",15
"C23H26O1P2","PT","210-240",50
"C23H26O1P2","DMT","0-30",15
"C23H26O1P2","GS","30-60",50
"C23H26O1P2","DMT","0-30",3
"C23H26O1P2","PT","90-120",3
"C23H24O5","GS","0-30",3
"C23H24O5","GS","30-60",50
"C23H24O5","PT","180-210",50
"C24H28S2","DMT","0-30",15
"C24H28S2","DMT","0-30",3
"C24H28S2","DMT","30-60",15
"C24H30P2","PT","150-180",1.5
"C24H30P2","GS","0-30",1.5
"C24H30P2","PT","120-150",1.5
"C24H30P2","PT","90-120",15
"C24H30P2","PT","60-90",3
"C24H30P2","PT","0-30",1.5
"C24H30P2","PT","150-180",15
"C24H30P2","PT","0-30",3
"C24H30P2","PT","30-60",50
"C24H30P2","PT","30-60",1.5
"C24H30P2","PT","120-150",15
"C24H30P2","PT","30-60",3
"C24H30P2","PT","120-150",50
"C24H30P2","PT","0-30",50
"C24H30P2","PT","60-90",50
"C24H30P2","DMT","0-30",1.5
"C24H30P2","GS","60-90",3
"C24H30P2","PT","210-240",1.5
"C24H30P2","PT","60-90",15
"C24H30P2","PT","120-150",3
"C24H30P2","PT","150-180",3
"C24H30P2","PT","180-210",3
"C24H30P2","GS","30-60",1.5
"C24H30P2","DMT","30-60",50
"C24H30P2","DMT","30-60",1.5
"C24H30P2","PT","0-30",15
"C24H30P2","GS","30-60",15
"C24H30P2","PT","210-240",50
"C24H30P2","DMT","0-30",15
"C24H30P2","GS","30-60",50
"C24H30P2","DMT","0-30",3
"C24H30P2","PT","90-120",3
"C24H30P2","PT","90-120",1.5
"C16H32O6N2S1","PT","0-30",3
"C16H32O6N2S1","PT","120-150",50
"C16H34O4N2P2","PT","120-150",15
"C16H34O4N2P2","PT","210-240",1.5
"C21H32O6","GS","0-30",50
"C21H32O6","PT","150-180",1.5
"C21H32O6","GS","0-30",1.5
"C21H32O6","PT","90-120",15
"C21H32O6","PT","60-90",3
"C21H32O6","PT","60-90",1.5
"C21H32O6","PT","150-180",15
"C21H32O6","PT","0-30",3
"C21H32O6","PT","30-60",50
"C21H32O6","PT","120-150",15
"C21H32O6","PT","30-60",3
"C21H32O6","PT","120-150",50
"C21H32O6","PT","0-30",50
"C21H32O6","PT","60-90",50
"C21H32O6","DMT","0-30",1.5
"C21H32O6","GS","60-90",3
"C21H32O6","PT","210-240",1.5
"C21H32O6","PT","60-90",15
"C21H32O6","PT","120-150",3
"C21H32O6","PT","150-180",3
"C21H32O6","PT","180-210",3
"C21H32O6","PT","0-30",1.5
"C21H32O6","GS","30-60",1.5
"C21H32O6","DMT","30-60",50
"C21H32O6","PT","0-30",15
"C21H32O6","PT","150-180",50
"C21H32O6","PT","180-210",50
"C21H32O6","GS","30-60",15
"C21H32O6","PT","210-240",50
"C21H32O6","DMT","0-30",15
"C21H32O6","GS","30-60",50
"C21H32O6","DMT","0-30",3
"C21H32O6","PT","90-120",3
"C21H32O6","PT","90-120",1.5
"C22H28O2N4","PT","120-150",50
"C18H36O8","GS","0-30",1.5
"C18H36O8","PT","120-150",1.5
"C18H36O8","PT","90-120",15
"C18H36O8","PT","60-90",3
"C18H36O8","PT","30-60",50
"C18H36O8","PT","30-60",1.5
"C18H36O8","PT","120-150",15
"C18H36O8","PT","30-60",3
"C18H36O8","PT","120-150",50
"C18H36O8","PT","0-30",50
"C18H36O8","DMT","0-30",1.5
"C18H36O8","GS","60-90",3
"C18H36O8","PT","210-240",1.5
"C18H36O8","PT","60-90",15
"C18H36O8","PT","120-150",3
"C18H36O8","PT","150-180",3
"C18H36O8","PT","180-210",3
"C18H36O8","DMT","30-60",50
"C18H36O8","PT","210-240",50
"C18H36O8","DMT","0-30",15
"C18H36O8","GS","30-60",15
"C18H36O8","DMT","0-30",3
"C18H36O8","PT","90-120",3
"C18H36O8","PT","90-120",1.5
"C18H36O8","DMT","30-60",15
"C22H36O5","DMT","0-30",3
"C8H3O3N3S6","PT","90-120",15
"C8H3O3N3S6","PT","0-30",50
"C8H3O3N3S6","DMT","0-30",1.5
"C8H3O3N3S6","GS","60-90",3
"C8H3O3N3S6","PT","210-240",1.5
"C8H3O3N3S6","GS","30-60",1.5
"C8H3O3N3S6","DMT","30-60",50
"C13H3O3N1S5","DMT","30-60",3
"C23H27O4N1","PT","0-30",15
"C23H27O4N1","GS","30-60",1.5
"C24H31O1N1S1","GS","60-90",3
"C24H31O1N1S1","GS","30-60",1.5
"C24H31O1N1S1","DMT","30-60",50
"C10H6S8","PT","60-90",15
"C13H4S5P2","PT","0-30",50
"C9H2O9S4","PT","120-150",15
"C9H2O9S4","DMT","0-30",1.5
"C9H2O9S4","GS","60-90",3
"C9H2O9S4","PT","210-240",1.5
"C9H2O9S4","PT","0-30",15
"C9H2O9S4","DMT","0-30",15
"C9H2O9S4","DMT","0-30",3
"C8H2O8N2S4","DMT","30-60",3
"C8H2O8N2S4","GS","30-60",50
"C8H2O8N2S4","PT","180-210",50
"C7H2O7N4S4","GS","30-60",15
"C8H6O2N4S6","DMT","0-30",15
"C10H6O8S4","PT","90-120",50
"C10H10O2N2S6","DMT","0-30",15
"C10H10O2N2S6","DMT","0-30",3
"C10H10O2N2S6","DMT","30-60",15
"C13H4O8S1P2","DMT","0-30",3
"C17H6O3P4","PT","210-240",1.5
"C16H4O4N2S1P2","PT","210-240",1.5
"C13H8O4N2S2P2","PT","210-240",1.5
"C12H5O8N3S1P1","DMT","0-30",15
"C12H5O8N3S1P1","DMT","0-30",3
"C14H11O6N1P3","DMT","0-30",15
"C19H10O7S1","GS","0-30",3
"C23H12O2P2","GS","30-60",50
"C23H12O2P2","DMT","0-30",3
"C21H20O3P2","GS","30-60",15
"C17H18O10","DMT","0-30",15
"C18H24O3S1P2","DMT","30-60",50
"C18H24O3S1P2","GS","30-60",15
"C18H24O3S1P2","PT","210-240",50
"C18H24O3S1P2","GS","30-60",50
"C14H22O10S1","GS","60-90",3
"C14H22O10S1","PT","210-240",1.5
"C22H24O2P2","PT","120-150",1.5
"C22H24O2P2","PT","60-90",50
"C22H24O2P2","PT","180-210",3
"C22H24O2P2","DMT","30-60",50
"C22H24O2P2","GS","30-60",15
"C22H24O2P2","PT","210-240",50
"C22H24O2P2","DMT","0-30",15
"C22H24O2P2","GS","30-60",50
"C22H24O2P2","DMT","0-30",3
"C22H24O2P2","PT","0-30",15
"C22H24O2P2","PT","90-120",3
"C14H25O9N1P1","PT","210-240",1.5
"C23H28O1P2","PT","150-180",1.5
"C23H28O1P2","PT","120-150",1.5
"C23H28O1P2","PT","90-120",15
"C23H28O1P2","PT","60-90",3
"C23H28O1P2","PT","30-60",50
"C23H28O1P2","PT","120-150",50
"C23H28O1P2","PT","120-150",3
"C23H28O1P2","DMT","30-60",50
"C23H28O1P2","GS","30-60",15
"C23H28O1P2","PT","210-240",50
"C23H28O1P2","GS","30-60",50
"C23H28O1P2","PT","180-210",50
"C19H26O8","PT","120-150",15
"C19H26O8","PT","0-30",50
"C19H26O8","DMT","0-30",1.5
"C19H26O8","PT","210-240",1.5
"C19H26O8","DMT","0-30",15
"C19H26O8","DMT","0-30",3
"C20H22O4N4","PT","150-180",50
"C16H30O8S1","PT","120-150",15
"C16H30O8S1","PT","60-90",15
"C16H30O8S1","DMT","0-30",15
"C16H30O8S1","DMT","0-30",3
"C16H30O8S1","DMT","30-60",15
"C16H28O1N6P2","DMT","30-60",3
"C24H32P2","PT","150-180",1.5
"C24H32P2","PT","120-150",1.5
"C24H32P2","PT","180-210",1.5
"C24H32P2","PT","90-120",15
"C24H32P2","PT","60-90",3
"C24H32P2","PT","0-30",1.5
"C24H32P2","PT","0-30",3
"C24H32P2","PT","30-60",50
"C24H32P2","GS","0-30",1.5
"C24H32P2","DMT","30-60",3
"C24H32P2","PT","30-60",1.5
"C24H32P2","PT","120-150",50
"C24H32P2","PT","120-150",3
"C24H32P2","PT","90-120",50
"C24H32P2","DMT","30-60",50
"C24H32P2","DMT","30-60",1.5
"C24H32P2","PT","150-180",50
"C24H32P2","GS","30-60",15
"C24H32P2","PT","210-240",50
"C24H32P2","GS","30-60",50
"C24H32P2","PT","180-210",50
"C24H32P2","PT","90-120",1.5
"C20H30O7","PT","120-150",15
"C20H30O7","PT","0-30",50
"C20H30O7","DMT","0-30",1.5
"C20H30O7","GS","60-90",3
"C20H30O7","PT","210-240",1.5
"C20H30O7","PT","60-90",15
"C20H30O7","GS","30-60",1.5
"C20H30O7","PT","0-30",15
"C20H30O7","DMT","0-30",15
"C20H30O7","DMT","0-30",3
"C20H30O7","GS","30-60",3
"C12H25N13P1","DMT","30-60",50
"C18H26N10","PT","150-180",1.5
"C18H26N10","GS","0-30",1.5
"C18H26N10","PT","120-150",1.5
"C18H26N10","PT","90-120",15
"C18H26N10","PT","60-90",3
"C18H26N10","PT","0-30",1.5
"C18H26N10","PT","150-180",15
"C18H26N10","PT","0-30",3
"C18H26N10","PT","30-60",50
"C18H26N10","PT","120-150",15
"C18H26N10","PT","30-60",3
"C18H26N10","PT","120-150",50
"C18H26N10","PT","0-30",50
"C18H26N10","PT","60-90",50
"C18H26N10","DMT","0-30",1.5
"C18H26N10","GS","60-90",3
"C18H26N10","PT","210-240",1.5
"C18H26N10","PT","60-90",15
"C18H26N10","PT","120-150",3
"C18H26N10","PT","150-180",3
"C18H26N10","PT","180-210",3
"C18H26N10","GS","30-60",1.5
"C18H26N10","DMT","30-60",50
"C18H26N10","PT","0-30",15
"C18H26N10","PT","150-180",50
"C18H26N10","PT","180-210",50
"C18H26N10","GS","30-60",15
"C18H26N10","PT","210-240",50
"C18H26N10","DMT","0-30",15
"C18H26N10","GS","30-60",50
"C18H26N10","DMT","0-30",3
"C18H26N10","PT","90-120",3
"C18H26N10","PT","30-60",1.5
"C18H26N10","PT","90-120",1.5
"C22H40O1P2","PT","60-90",15
"C26H38S1","PT","210-240",1.5
"C13H6S4P3","PT","0-30",50
"C13H6S4P3","PT","60-90",15
"C23H15O1N1P2","GS","30-60",50
"C12H21O9N3S1","GS","30-60",3
"C12H21O9N3S1","GS","0-30",1.5
"C12H21O9N3S1","PT","150-180",15
"C12H21O9N3S1","PT","0-30",50
"C12H21O9N3S1","PT","30-60",50
"C12H21O9N3S1","GS","60-90",3
"C12H21O9N3S1","PT","210-240",1.5
"C12H21O9N3S1","PT","180-210",3
"C12H21O9N3S1","DMT","30-60",50
"C12H21O9N3S1","DMT","30-60",1.5
"C12H21O9N3S1","PT","210-240",3
"C12H21O9N3S1","PT","0-30",15
"C12H21O9N3S1","PT","150-180",50
"C12H21O9N3S1","PT","120-150",15
"C12H21O9N3S1","GS","30-60",15
"C12H21O9N3S1","PT","210-240",50
"C12H21O9N3S1","GS","30-60",50
"C12H21O9N3S1","PT","180-210",50
"C12H21O9N3S1","PT","30-60",15
"C12H21O9N3S1","PT","180-210",15
"C12H21O9N3S1","PT","120-150",1.5
"C12H21O9N3S1","PT","30-60",1.5
"C12H21O9N3S1","PT","90-120",1.5
"C10H8S8","DMT","0-30",15
"C13H4O2S6","PT","120-150",15
"C13H4O2S6","GS","60-90",3
"C13H4O2S6","PT","210-240",1.5
"C10H10S6P2","DMT","30-60",3
"C10H8O4S6","GS","0-30",1.5
"C10H8O4S6","PT","30-60",1.5
"C10H8O4S6","DMT","30-60",50
"C10H8O4S6","PT","180-210",50
"C10H8O4S6","GS","30-60",15
"C10H8O4S6","PT","120-150",1.5
"C11H4N4S6","PT","120-150",15
"C11H4N4S6","DMT","0-30",1.5
"C11H4N4S6","GS","60-90",3
"C11H4N4S6","PT","210-240",1.5
"C11H4N4S6","PT","60-90",15
"C11H4N4S6","GS","30-60",1.5
"C11H4N4S6","PT","210-240",3
"C11H4N4S6","PT","0-30",15
"C11H4N4S6","GS","30-60",3
"C11H4N4S6","DMT","30-60",15
"C12H3O8N1S2P1","DMT","30-60",15
"C11H3O7N3S2P1","DMT","0-30",15
"C11H3O7N3S2P1","DMT","0-30",3
"C13H6O8S1P2","PT","210-240",1.5
"C14H8O9S2","PT","60-90",15
"C14H12O5P4","DMT","0-30",15
"C14H12O5P4","DMT","0-30",3
"C11H12O11S2","PT","120-150",15
"C22H10O3P2","GS","30-60",50
"C15H12O10S1","DMT","30-60",50
"C19H12O9","DMT","0-30",15
"C20H18O4P2","GS","30-60",50
"C17H22O4S1P2","PT","210-240",50
"C17H22O4S1P2","GS","30-60",50
"C24H19N1S1P1","GS","30-60",15
"C24H19N1S1P1","GS","30-60",50
"C21H22O3P2","GS","30-60",15
"C21H22O3P2","GS","30-60",50
"C17H20O10","PT","180-210",3
"C17H20O10","DMT","0-30",15
"C18H26O3S1P2","PT","150-180",1.5
"C18H26O3S1P2","PT","120-150",1.5
"C18H26O3S1P2","PT","60-90",3
"C18H26O3S1P2","PT","0-30",3
"C18H26O3S1P2","GS","0-30",1.5
"C18H26O3S1P2","PT","30-60",1.5
"C18H26O3S1P2","PT","120-150",50
"C18H26O3S1P2","PT","90-120",50
"C18H26O3S1P2","DMT","30-60",50
"C18H26O3S1P2","DMT","30-60",1.5
"C18H26O3S1P2","GS","30-60",15
"C18H26O3S1P2","PT","210-240",50
"C18H26O3S1P2","GS","30-60",50
"C18H26O3S1P2","PT","180-210",50
"C14H24O10S1","PT","0-30",50
"C14H24O10S1","GS","60-90",3
"C14H24O10S1","PT","210-240",1.5
"C14H24O10S1","PT","60-90",15
"C14H24O10S1","PT","210-240",3
"C14H24O10S1","PT","0-30",15
"C14H24O10S1","DMT","0-30",15
"C22H26S1P2","GS","30-60",50
"C22H26O2P2","DMT","30-60",50
"C22H26O2P2","GS","30-60",15
"C22H26O2P2","PT","210-240",50
"C22H26O2P2","GS","30-60",50
"C18H24O9","PT","0-30",50
"C18H24O9","DMT","30-60",50
"C18H24O9","DMT","0-30",15
"C18H24O9","DMT","0-30",3
"C13H28O5N4S2","DMT","0-30",3
"C23H30O1P2","PT","120-150",1.5
"C23H30O1P2","PT","180-210",1.5
"C23H30O1P2","PT","90-120",15
"C23H30O1P2","PT","0-30",1.5
"C23H30O1P2","PT","120-150",50
"C23H30O1P2","PT","0-30",50
"C23H30O1P2","PT","60-90",50
"C23H30O1P2","PT","210-240",1.5
"C23H30O1P2","PT","180-210",3
"C23H30O1P2","DMT","30-60",50
"C23H30O1P2","PT","120-150",15
"C23H30O1P2","GS","30-60",15
"C23H30O1P2","PT","210-240",50
"C23H30O1P2","DMT","0-30",15
"C23H30O1P2","GS","30-60",50
"C23H30O1P2","DMT","0-30",3
"C23H30O1P2","PT","180-210",15
"C23H30O1P2","PT","0-30",15
"C16H30O1N6P2","PT","120-150",50
"C16H30O1N6P2","GS","0-30",3
"C16H30O1N6P2","DMT","30-60",50
"C16H30O1N6P2","DMT","30-60",1.5
"C16H30O1N6P2","PT","150-180",50
"C16H30O1N6P2","GS","30-60",15
"C16H30O1N6P2","GS","30-60",50
"C16H30O1N6P2","PT","180-210",50
"C20H32O5S1","PT","0-30",50
"C20H32O5S1","GS","60-90",3
"C20H32O5S1","PT","60-90",15
"C20H32O5S1","PT","0-30",15
"C20H32O5S1","DMT","0-30",15
"C20H32O5S1","DMT","0-30",3
"C20H32O5S1","DMT","30-60",15
"C16H32O10","GS","0-30",1.5
"C16H32O10","PT","0-30",50
"C16H32O10","DMT","0-30",1.5
"C16H32O10","GS","60-90",3
"C16H32O10","PT","210-240",1.5
"C16H32O10","GS","30-60",1.5
"C16H32O10","DMT","30-60",50
"C16H32O10","PT","0-30",15
"C16H32O10","DMT","0-30",15
"C16H32O10","DMT","0-30",3
"C20H35O2N1S1P1","PT","90-120",15
"C20H35O2N1S1P1","PT","120-150",50
"C20H32O7","PT","120-150",15
"C20H32O7","GS","60-90",3
"C20H32O7","PT","210-240",1.5
"C20H32O7","DMT","0-30",15
"C20H32O7","DMT","0-30",3
"C24H19O2N1S1","GS","30-60",15
"C24H19O2N1S1","GS","30-60",50
"C16H25O4N3P2","GS","30-60",15
"C19H35O5N3","DMT","0-30",3
"C9H6O7S5","GS","30-60",3
"C9H6O7S5","PT","90-120",15
"C9H6O7S5","PT","150-180",15
"C9H6O7S5","PT","60-90",50
"C9H6O7S5","PT","210-240",1.5
"C9H6O7S5","PT","60-90",15
"C9H6O7S5","PT","150-180",3
"C9H6O7S5","DMT","30-60",50
"C12H6O1N2S6","PT","180-210",3
"C9H10O1N2S7","PT","120-150",15
"C9H10O1N2S7","GS","60-90",3
"C9H10O1N2S7","PT","210-240",1.5
"C7H6O5N4S5","PT","120-150",50
"C16H7O1N1S2P3","DMT","0-30",15
"C16H7O1N1S2P3","DMT","0-30",3
"C9H9O10N1S2P1","PT","120-150",1.5
"C9H9O10N1S2P1","PT","90-120",15
"C9H9O10N1S2P1","PT","60-90",3
"C14H4O4N4S1P2","PT","120-150",15
"C14H4O4N4S1P2","PT","0-30",50
"C21H6O4S2","GS","30-60",50
"C21H6O4S2","PT","180-210",50
"C14H14O5P4","DMT","0-30",15
"C14H14O5P4","DMT","0-30",3
"C20H8O3N2P2","PT","0-30",3
"C20H8O3N2P2","PT","30-60",50
"C20H8O3N2P2","PT","0-30",50
"C20H8O3N2P2","GS","60-90",3
"C20H8O3N2P2","PT","60-90",15
"C20H8O3N2P2","PT","180-210",3
"C20H8O3N2P2","DMT","30-60",50
"C16H6O10N2","GS","60-90",3
"C16H6O10N2","PT","210-240",1.5
"C16H6O10N2","PT","0-30",15
"C15H6O9N4","GS","0-30",3
"C13H10O12N2","DMT","0-30",15
"C13H10O12N2","DMT","0-30",3
"C22H12O3P2","GS","30-60",50
"C18H10O10","DMT","0-30",15
"C16H20O5S1P2","GS","30-60",15
"C16H20O5S1P2","PT","210-240",50
"C16H20O5S1P2","GS","30-60",50
"C20H18O8","DMT","0-30",3
"C21H24O1S1P2","DMT","30-60",50
"C17H22O8S1","GS","30-60",15
"C17H22O8S1","GS","30-60",50
"C21H24O3P2","GS","30-60",15
"C21H24O3P2","PT","210-240",50
"C21H24O3P2","GS","30-60",50
"C21H24O3P2","PT","180-210",50
"C13H25O10N1P1","PT","180-210",3
"C13H25O10N1P1","GS","30-60",15
"C13H25O10N1P1","PT","210-240",50
"C13H25O10N1P1","DMT","0-30",15
"C13H25O10N1P1","GS","30-60",50
"C22H28S1P2","GS","30-60",50
"C22H28S1P2","PT","180-210",50
"C18H26O7S1","PT","0-30",15
"C18H26O7S1","DMT","0-30",3
"C22H28O2P2","GS","30-60",50
"C18H26O9","DMT","0-30",15
"C15H28O2N6P2","PT","0-30",3
"C15H28O2N6P2","DMT","30-60",50
"C15H28O2N6P2","GS","30-60",15
"C15H28O2N6P2","GS","30-60",50
"C15H28O2N6P2","PT","180-210",50
"C19H30O6S1","PT","0-30",50
"C19H30O6S1","GS","60-90",3
"C19H30O6S1","PT","210-240",1.5
"C19H30O6S1","PT","0-30",15
"C19H30O6S1","DMT","0-30",3
"C22H30N2S2","PT","120-150",50
"C22H22O1N6","PT","210-240",1.5
"C23H32O1P2","PT","90-120",15
"C23H32O1P2","DMT","30-60",50
"C23H30O5","PT","120-150",15
"C23H30O5","GS","60-90",3
"C23H30O5","PT","210-240",1.5
"C20H34O7","PT","0-30",50
"C12H29N13P1","GS","60-90",3
"C12H29N13P1","GS","30-60",1.5
"C23H17O3N1S1","GS","30-60",50
"C22H29O5N1","DMT","0-30",15
"C21H40S2P1","GS","60-90",3
"C21H40S2P1","GS","30-60",1.5
"C13H8O2S6","PT","210-240",1.5
"C19H4S1P4","PT","210-240",50
"C19H4S1P4","PT","180-210",3
"C11H5O7N1S1P3","PT","90-120",15
"C11H5O7N1S1P3","PT","60-90",3
"C11H5O7N1S1P3","PT","0-30",3
"C11H5O7N1S1P3","PT","120-150",3
"C11H5O7N1S1P3","PT","150-180",50
"C12H4O9S3","DMT","30-60",3
"C12H4O9S3","PT","120-150",15
"C12H4O9S3","PT","60-90",15
"C12H4O9S3","GS","30-60",1.5
"C12H4O9S3","PT","210-240",3
"C12H4O9S3","PT","0-30",15
"C10H3O8N3S2P1","PT","210-240",50
"C10H5O6N3S1P3","DMT","0-30",15
"C12H4O11S2","DMT","0-30",15
"C12H4O11S2","DMT","0-30",3
"C11H4O10N2S2","DMT","0-30",15
"C11H4O10N2S2","DMT","0-30",3
"C14H16O5P4","DMT","0-30",15
"C20H10O3N2P2","PT","180-210",50
"C16H8O10N2","DMT","0-30",3
"C11H16O13S1","GS","0-30",3
"C18H12O10","DMT","0-30",3
"C21H14O2N2P2","PT","0-30",3
"C17H12O9N2","GS","60-90",3
"C21H26O1S1P2","GS","30-60",50
"C21H26O3P2","GS","30-60",50
"C17H24O10","DMT","0-30",15
"C25H26P2","PT","150-180",50
"C22H28O2S2","PT","120-150",15
"C22H28O2S2","DMT","0-30",15
"C22H28O2S2","DMT","0-30",3
"C21H20O2N6","DMT","30-60",50
"C21H20O2N6","DMT","30-60",1.5
"C21H20O2N6","PT","180-210",50
"C21H20O2N6","GS","30-60",15
"C21H20O2N6","PT","210-240",50
"C21H20O2N6","GS","30-60",50
"C21H20O2N6","PT","120-150",1.5
"C22H28O6","GS","0-30",15
"C23H24O2N4","PT","180-210",1.5
"C23H24O2N4","PT","150-180",50
"C15H30O2N6P2","DMT","30-60",50
"C15H30O2N6P2","PT","180-210",50
"C15H30O2N6P2","GS","30-60",15
"C15H30O2N6P2","PT","210-240",50
"C15H30O2N6P2","GS","30-60",50
"C15H30O2N6P2","PT","120-150",1.5
"C19H32O6S1","PT","0-30",50
"C19H32O6S1","GS","60-90",3
"C19H32O6S1","PT","210-240",1.5
"C19H32O6S1","GS","30-60",1.5
"C19H32O6S1","PT","210-240",3
"C19H32O6S1","PT","0-30",15
"C19H32O6S1","DMT","60-90",1.5
"C26H28O3","DMT","30-60",3
"C23H34O1P2","DMT","30-60",50
"C22H32O2N2S1","PT","120-150",50
"C30H28","DMT","30-60",50
"C18H37N3P3","GS","60-90",3
"C18H37N3P3","PT","210-240",1.5
"C18H37N3P3","PT","0-30",15
"C23H32O5","GS","60-90",3
"C23H32O5","GS","30-60",1.5
"C12H7N1S7","PT","60-90",3
"C9H11O2N1S7","PT","210-240",1.5
"C17H29O3N1S1P2","DMT","30-60",50
"C17H26O8P1","GS","30-60",50
"C25H19N5","PT","0-30",50
"C25H19N5","DMT","30-60",50
