"","formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"12381","C18H14O12S4",NA,"unsaturated/lignin","unsaturated/lignin",0.25,1,0.78,0.67,-4,12,-0.2222
"12382","C15H18O12S5",NA,"unsaturated/lignin","unsaturated/lignin",-1,1.0667,1.2,0.8,-10,7,-0.6667
"12383","C19H11O9N3S1P3",NA,"condensed aromatic","condensed aromatic",0.8,0.9474,0.58,0.47,1.5,17.5,0.0789
"12384","C24H8O12P2",NA,"condensed aromatic","condensed aromatic",0.875,0.6667,0.33,0.5,8,22,0.3333
"12385","C28H9O8N1S1P1",NA,"condensed aromatic","condensed aromatic",0.881,0.4286,0.32,0.29,14.5,25.5,0.5179
"12386","C34H14O2S3",NA,"condensed aromatic","condensed aromatic",0.8,-0.1176,0.41,0.06,23,28,0.6765
"12387","C22H23O4N3S2P3",NA,"unsaturated/lignin","unsaturated/lignin",0.375,-0.0909,1.05,0.18,2.5,14.5,0.1136
"12388","C16H24O17P2",NA,"aliphatic","aliphatic",-0.8182,0.625,1.5,1.06,-13,6,-0.8125
"12389","C21H18O14N4",NA,"unsaturated/lignin","unsaturated/lignin",0.4,1.0476,0.86,0.67,-3,15,-0.1429
"12390","C23H26O8N4S2",NA,"unsaturated/lignin","unsaturated/lignin",0.2308,0.2609,1.13,0.35,-1,13,-0.0435
"12391","C18H30O17S1",NA,"aliphatic","aliphatic",-0.6471,0.3333,1.67,0.94,-14,4,-0.7778
"12392","C21H42O8S4",NA,"aliphatic","lipid",-0.5385,-0.8571,2,0.38,-11,1,-0.5238
"12393","C26H37O6N3S1P1",NA,"unsaturated/lignin","unsaturated/lignin",0.1389,-0.5385,1.42,0.23,-0.5,10.5,-0.0192
"12394","C32H38O6S1",NA,"unsaturated/lignin","unsaturated/lignin",0.3571,-0.75,1.19,0.19,7,14,0.2188
"12395","C28H38O11",NA,"unsaturated/lignin","unsaturated/lignin",0.2,-0.5714,1.36,0.39,-1,10,-0.0357
"12396","C14H30O8N16",NA,"condensed aromatic","condensed aromatic",2,2.4286,2.14,0.57,-16,8,-1.1429
"12397","C25H42O11S1",NA,"aliphatic","aliphatic",-0.0811,-0.72,1.68,0.44,-7,5,-0.28
"12398","C20H45O12N3P1",NA,"aliphatic","lipid",-0.95,-0.6,2.25,0.6,-15.5,0.5,-0.775
"12399","C29H42O10",NA,"unsaturated/lignin","unsaturated/lignin",0.1667,-0.7586,1.45,0.34,-1,9,-0.0345
"12400","C30H48O3S1P2",NA,"aliphatic","aliphatic",0.1373,-1.3333,1.6,0.1,2,8,0.0667
"12401","C26H46O10S1",NA,"aliphatic","aliphatic",-0.1,-0.9231,1.77,0.38,-7,4,-0.2692
"12402","C30H48O5P2",NA,"aliphatic","aliphatic",0.1373,-1.2667,1.6,0.17,1,8,0.0333
"12403","C27H42O8N4",NA,"aliphatic","aliphatic+N",0.0526,-0.5185,1.56,0.3,-3,9,-0.1111
"12404","C24H46O8N4S1",NA,"aliphatic","aliphatic+N",-0.3333,-0.6667,1.92,0.33,-9,4,-0.375
"12405","C18H17O7N1S6",NA,"unsaturated/lignin","unsaturated/lignin",0.0667,0.6667,0.94,0.39,-3,11,-0.1667
"12406","C22H32O12S1P1",NA,"unsaturated/lignin","unsaturated/lignin",-0.0357,-0.2727,1.45,0.55,-6.5,7.5,-0.2955
"12407","C26H49O7N1S2",NA,"aliphatic","aliphatic+N",-0.1795,-1.0769,1.88,0.27,-7,3,-0.2692
"12408","C32H45O1N3S2",NA,"unsaturated/lignin","unsaturated/lignin",0.2453,-0.9375,1.41,0.03,6,12,0.1875
"12409","C11H4O12S7",NA,"condensed aromatic","condensed aromatic",1.5,3.0909,0.36,1.09,-9,10,-0.8182
"12410","C13H4O5N4S8",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,2.6154,0.31,0.38,-3,14,-0.2308
"12411","C9H4O10N4S7",NA,"condensed aromatic","condensed aromatic",0.8571,4.6667,0.44,1.11,-11,10,-1.2222
"12412","C16H8O6S8",NA,"unsaturated/lignin","unsaturated/lignin",0.4,1.25,0.5,0.38,-1,13,-0.0625
"12413","C17H12O3S9",NA,"unsaturated/lignin","unsaturated/lignin",0.2308,0.7059,0.71,0.18,0,12,0
"12414","C13H12O8S8",NA,"unsaturated/lignin","unsaturated/lignin",-4,1.5385,0.92,0.62,-8,8,-0.6154
"12415","C12H12O7N2S8",NA,"condensed aromatic","condensed aromatic",3.6667,2,1,0.58,-9,8,-0.75
"12416","C16H8O10S6",NA,"unsaturated/lignin","unsaturated/lignin",0.4,1.5,0.5,0.62,-3,13,-0.1875
"12417","C13H12O12S6",NA,"unsaturated/lignin","unsaturated/lignin",-4,1.8462,0.92,0.92,-10,8,-0.7692
"12418","C15H12O3N4S8",NA,"unsaturated/lignin","unsaturated/lignin",-1,1.4667,0.8,0.2,-3,12,-0.2
"12419","C17H12O9S6",NA,"unsaturated/lignin","unsaturated/lignin",0.2308,1.0588,0.71,0.53,-3,12,-0.1765
