"formula","presence","PoreWater_ID","site","depth","Suction_kPa","n"
"C10H10O5S1",1,"15C","PT","120-150",15,3
"C10H10O5S1",1,"26D","PT","0-30",50,3
"C10H10O5S1",1,"28D","PT","60-90",50,2
"C10H10O5S1",1,"50B","GS","60-90",3,2
"C10H10O5S1",1,"28C","PT","60-90",15,3
"C10H10O5S1",1,"42B","GS","0-30",3,2
"C10H10O5S1",1,"25B","PT","180-210",3,2
"C10H10O5S1",1,"29D","PT","90-120",50,2
"C10H10O5S1",1,"21C","PT","60-90",15,3
"C10H10O5S1",1,"19D","PT","0-30",50,3
"C10H10O5S1",1,"22C","PT","90-120",15,3
"C10H10O5S1",1,"19B","PT","0-30",3,3
"C10H10O5S1",1,"21B","PT","60-90",3,3
"C10H10O5S1",1,"46A","GS","30-60",1.5,3
"C10H10O5S1",1,"47B","GS","60-90",3,2
"C10H10O5S1",1,"2D","DMT","30-60",50,3
"C10H10O5S1",1,"37C","PT","90-120",15,3
"C10H10O5S1",1,"8D","DMT","30-60",50,3
"C10H10O5S1",1,"8A","DMT","30-60",1.5,2
"C10H10O5S1",1,"45B","GS","0-30",3,2
"C10H10O5S1",1,"36D","PT","60-90",50,2
"C10H10O5S1",1,"34C","PT","0-30",15,3
"C10H10O5S1",1,"24D","PT","150-180",50,2
"C10H10O5S1",1,"36B","PT","60-90",3,3
"C10H10O5S1",1,"35D","PT","30-60",50,3
"C10H10O5S1",1,"45A2","GS","0-30",1.5,3
"C10H10O5S1",1,"34D","PT","0-30",50,3
"C10H10O5S1",1,"30C","PT","120-150",15,3
"C10H10O5S1",1,"34B","PT","0-30",3,3
"C10H10O5S1",1,"52C","GS","30-60",15,3
"C10H10O5S1",1,"1C","DMT","0-30",15,1
"C10H10O5S1",1,"33D","PT","210-240",50,2
"C10H10O5S1",1,"49D","GS","30-60",50,1
"C10H10O5S1",1,"32D","PT","180-210",50,2
"C10H10O5S1",1,"46C","GS","30-60",15,3
"C10H10O5S1",1,"1B","DMT","0-30",3,1
"C10H10O5S1",1,"32B","PT","180-210",3,2
"C10H10O5S1",1,"35C","PT","30-60",15,2
"C10H10O5S1",1,"25D","PT","180-210",50,2
"C10H10O5S1",1,"26C","PT","0-30",15,3
"C10H10O5S1",1,"30A","PT","120-150",1.5,3
"C10H10O5S1",1,"53C","GS","30-60",15,3
"C10H10O5S1",1,"23C","PT","120-150",15,3
"C10H10O5S1",1,"6A","DMT","60-90",1.5,1
"C10H10O5S1",1,"35A","PT","30-60",1.5,3
"C10H10O5S1",1,"20C","PT","30-60",15,2
"C10H10O5S1",1,"20D","PT","30-60",50,3
