"formula","Site","Treatment","Suction"
"C20H36O9","DWP","drought","50 kPa"
"C20H36O9","CPCRW","time zero","1.5 kPa"
"C20H36O9","SR","flood","50 kPa"
"C24H36O6","CPCRW","field moist","50 kPa"
"C24H36O6","CPCRW","drought","50 kPa"
"C24H36O6","SR","field moist","1.5 kPa"
"C24H36O6","CPCRW","flood","50 kPa"
"C24H36O6","DWP","time zero","50 kPa"
"C24H36O6","CPCRW","flood","1.5 kPa"
"C24H36O6","CPCRW","field moist","1.5 kPa"
"C24H36O6","DWP","field moist","1.5 kPa"
"C24H36O6","DWP","drought","1.5 kPa"
"C24H36O6","SR","time zero","1.5 kPa"
"C24H36O6","DWP","field moist","50 kPa"
"C24H36O6","CPCRW","drought","1.5 kPa"
"C24H36O6","DWP","drought","50 kPa"
"C24H36O6","CPCRW","time zero","1.5 kPa"
"C24H36O6","CPCRW","time zero","50 kPa"
"C24H36O6","DWP","flood","50 kPa"
"C24H36O6","SR","flood","50 kPa"
"C24H36O6","SR","field moist","50 kPa"
"C24H36O6","SR","flood","1.5 kPa"
"C24H36O6","DWP","flood","1.5 kPa"
"C21H40O8","CPCRW","flood","1.5 kPa"
"C21H40O8","SR","time zero","1.5 kPa"
"C21H40O8","SR","flood","50 kPa"
"C25H40O5","CPCRW","flood","1.5 kPa"
"C21H27O4N1S2","SR","time zero","50 kPa"
"C21H27O4N1S2","DWP","drought","50 kPa"
"C21H27O8N1","CPCRW","field moist","50 kPa"
"C20H27O7N3","CPCRW","flood","50 kPa"
"C20H27O7N3","CPCRW","flood","1.5 kPa"
"C20H27O7N3","CPCRW","field moist","1.5 kPa"
"C20H27O7N3","CPCRW","drought","1.5 kPa"
"C20H27O7N3","SR","time zero","1.5 kPa"
"C20H27O7N3","DWP","field moist","50 kPa"
"C20H27O7N3","SR","time zero","50 kPa"
"C20H27O7N3","CPCRW","time zero","1.5 kPa"
"C20H27O7N3","DWP","drought","50 kPa"
"C20H27O7N3","SR","flood","50 kPa"
"C21H10O10","DWP","field moist","50 kPa"
"C22H14O7S1","DWP","field moist","50 kPa"
"C22H14O7S1","DWP","field moist","1.5 kPa"
"C18H14O12","CPCRW","field moist","50 kPa"
"C18H14O12","CPCRW","drought","50 kPa"
"C18H14O12","CPCRW","flood","50 kPa"
"C18H14O12","DWP","time zero","50 kPa"
"C18H14O12","CPCRW","field moist","1.5 kPa"
"C18H14O12","CPCRW","drought","1.5 kPa"
"C18H14O12","DWP","field moist","1.5 kPa"
"C18H14O12","DWP","flood","50 kPa"
"C18H14O12","DWP","field moist","50 kPa"
"C18H14O12","DWP","drought","50 kPa"
"C18H14O12","CPCRW","time zero","50 kPa"
"C18H14O12","DWP","flood","1.5 kPa"
"C22H14O9","CPCRW","flood","50 kPa"
"C22H14O9","DWP","field moist","1.5 kPa"
"C22H14O9","DWP","flood","50 kPa"
"C22H14O9","DWP","field moist","50 kPa"
"C22H14O9","DWP","flood","1.5 kPa"
"C33H10O1","CPCRW","drought","50 kPa"
"C33H10O1","DWP","time zero","50 kPa"
"C33H10O1","CPCRW","drought","1.5 kPa"
"C33H10O1","DWP","time zero","1.5 kPa"
"C33H10O1","DWP","drought","1.5 kPa"
"C33H10O1","DWP","drought","50 kPa"
"C12H23O14P1","CPCRW","field moist","50 kPa"
"C12H23O14P1","CPCRW","drought","50 kPa"
"C12H23O14P1","SR","field moist","1.5 kPa"
"C12H23O14P1","DWP","time zero","50 kPa"
"C12H23O14P1","CPCRW","drought","1.5 kPa"
"C12H23O14P1","DWP","time zero","1.5 kPa"
"C12H23O14P1","DWP","drought","1.5 kPa"
"C12H23O14P1","DWP","field moist","1.5 kPa"
"C12H23O14P1","DWP","drought","50 kPa"
"C19H18O11","CPCRW","field moist","50 kPa"
"C19H18O11","CPCRW","drought","50 kPa"
"C19H18O11","SR","drought","50 kPa"
"C19H18O11","CPCRW","flood","50 kPa"
"C19H18O11","DWP","time zero","50 kPa"
"C19H18O11","CPCRW","flood","1.5 kPa"
"C19H18O11","CPCRW","field moist","1.5 kPa"
"C19H18O11","CPCRW","drought","1.5 kPa"
"C19H18O11","DWP","time zero","1.5 kPa"
"C19H18O11","DWP","field moist","1.5 kPa"
"C19H18O11","DWP","drought","1.5 kPa"
"C19H18O11","SR","time zero","1.5 kPa"
"C19H18O11","DWP","flood","50 kPa"
"C19H18O11","DWP","field moist","50 kPa"
"C19H18O11","SR","time zero","50 kPa"
"C19H18O11","DWP","drought","50 kPa"
"C19H18O11","SR","field moist","50 kPa"
"C19H18O11","CPCRW","time zero","1.5 kPa"
"C19H18O11","CPCRW","time zero","50 kPa"
"C19H18O11","SR","flood","1.5 kPa"
"C19H18O11","DWP","flood","1.5 kPa"
"C16H22O11S1","DWP","time zero","50 kPa"
"C16H22O11S1","DWP","time zero","1.5 kPa"
"C23H18O8","CPCRW","flood","50 kPa"
"C23H18O8","CPCRW","time zero","50 kPa"
"C13H27O13P1","CPCRW","field moist","50 kPa"
"C20H22O10","CPCRW","field moist","50 kPa"
"C20H22O10","CPCRW","drought","50 kPa"
"C20H22O10","SR","drought","50 kPa"
"C20H22O10","SR","field moist","1.5 kPa"
"C20H22O10","CPCRW","flood","50 kPa"
"C20H22O10","DWP","time zero","50 kPa"
"C20H22O10","CPCRW","flood","1.5 kPa"
"C20H22O10","CPCRW","field moist","1.5 kPa"
"C20H22O10","CPCRW","drought","1.5 kPa"
"C20H22O10","DWP","time zero","1.5 kPa"
"C20H22O10","DWP","field moist","1.5 kPa"
"C20H22O10","DWP","drought","1.5 kPa"
"C20H22O10","SR","time zero","1.5 kPa"
"C20H22O10","DWP","flood","50 kPa"
"C20H22O10","DWP","field moist","50 kPa"
"C20H22O10","SR","time zero","50 kPa"
"C20H22O10","SR","drought","1.5 kPa"
"C20H22O10","DWP","drought","50 kPa"
"C20H22O10","SR","field moist","50 kPa"
"C20H22O10","CPCRW","time zero","1.5 kPa"
"C20H22O10","CPCRW","time zero","50 kPa"
"C20H22O10","SR","flood","50 kPa"
"C20H22O10","SR","flood","1.5 kPa"
"C20H22O10","DWP","flood","1.5 kPa"
"C17H26O10S1","DWP","field moist","1.5 kPa"
"C17H26O10S1","DWP","field moist","50 kPa"
"C17H26O12","DWP","time zero","50 kPa"
"C21H26O9","CPCRW","field moist","50 kPa"
"C21H26O9","CPCRW","drought","50 kPa"
"C21H26O9","SR","drought","50 kPa"
"C21H26O9","SR","field moist","1.5 kPa"
"C21H26O9","CPCRW","flood","50 kPa"
"C21H26O9","DWP","time zero","50 kPa"
"C21H26O9","CPCRW","flood","1.5 kPa"
"C21H26O9","CPCRW","field moist","1.5 kPa"
"C21H26O9","CPCRW","drought","1.5 kPa"
"C21H26O9","DWP","time zero","1.5 kPa"
"C21H26O9","DWP","field moist","1.5 kPa"
"C21H26O9","DWP","drought","1.5 kPa"
"C21H26O9","SR","time zero","1.5 kPa"
"C21H26O9","DWP","flood","50 kPa"
"C21H26O9","DWP","field moist","50 kPa"
"C21H26O9","SR","time zero","50 kPa"
"C21H26O9","SR","drought","1.5 kPa"
"C21H26O9","DWP","drought","50 kPa"
"C21H26O9","SR","field moist","50 kPa"
"C21H26O9","CPCRW","time zero","1.5 kPa"
"C21H26O9","CPCRW","time zero","50 kPa"
"C21H26O9","SR","flood","50 kPa"
"C21H26O9","SR","flood","1.5 kPa"
"C21H26O9","DWP","flood","1.5 kPa"
"C18H30O11","CPCRW","drought","50 kPa"
"C18H30O11","DWP","time zero","50 kPa"
"C18H30O11","CPCRW","drought","1.5 kPa"
"C19H34O6S2","SR","field moist","50 kPa"
"C19H34O6S2","SR","flood","50 kPa"
"C19H34O6S2","SR","flood","1.5 kPa"
"C22H30O8","CPCRW","field moist","50 kPa"
"C22H30O8","CPCRW","drought","50 kPa"
"C22H30O8","SR","drought","50 kPa"
"C22H30O8","SR","field moist","1.5 kPa"
"C22H30O8","CPCRW","flood","50 kPa"
"C22H30O8","DWP","time zero","50 kPa"
"C22H30O8","CPCRW","flood","1.5 kPa"
"C22H30O8","CPCRW","field moist","1.5 kPa"
"C22H30O8","CPCRW","drought","1.5 kPa"
"C22H30O8","DWP","time zero","1.5 kPa"
"C22H30O8","DWP","field moist","1.5 kPa"
"C22H30O8","DWP","drought","1.5 kPa"
"C22H30O8","SR","time zero","1.5 kPa"
"C22H30O8","DWP","flood","50 kPa"
"C22H30O8","DWP","field moist","50 kPa"
"C22H30O8","SR","time zero","50 kPa"
"C22H30O8","SR","drought","1.5 kPa"
"C22H30O8","DWP","drought","50 kPa"
"C22H30O8","SR","field moist","50 kPa"
"C22H30O8","CPCRW","time zero","1.5 kPa"
"C22H30O8","CPCRW","time zero","50 kPa"
"C22H30O8","SR","flood","50 kPa"
"C22H30O8","SR","flood","1.5 kPa"
"C22H30O8","DWP","flood","1.5 kPa"
"C19H35O8P1","DWP","time zero","50 kPa"
"C19H35O8P1","SR","time zero","1.5 kPa"
"C19H35O8P1","DWP","field moist","50 kPa"
"C19H35O8P1","DWP","drought","50 kPa"
"C19H35O8P1","SR","flood","50 kPa"
"C19H35O8P1","DWP","drought","1.5 kPa"
"C19H34O10","CPCRW","drought","50 kPa"
"C19H34O10","SR","field moist","1.5 kPa"
"C19H34O10","DWP","time zero","50 kPa"
"C19H34O10","CPCRW","flood","1.5 kPa"
"C19H34O10","CPCRW","drought","1.5 kPa"
"C19H34O10","DWP","time zero","1.5 kPa"
"C19H34O10","SR","time zero","1.5 kPa"
"C19H34O10","SR","flood","50 kPa"
"C23H34O7","CPCRW","field moist","50 kPa"
"C23H34O7","CPCRW","drought","50 kPa"
"C23H34O7","SR","drought","50 kPa"
"C23H34O7","SR","field moist","1.5 kPa"
"C23H34O7","CPCRW","flood","50 kPa"
"C23H34O7","DWP","time zero","50 kPa"
"C23H34O7","CPCRW","flood","1.5 kPa"
"C23H34O7","CPCRW","field moist","1.5 kPa"
"C23H34O7","DWP","time zero","1.5 kPa"
"C23H34O7","DWP","field moist","1.5 kPa"
"C23H34O7","DWP","drought","1.5 kPa"
"C23H34O7","SR","time zero","1.5 kPa"
"C23H34O7","DWP","flood","50 kPa"
"C23H34O7","DWP","field moist","50 kPa"
"C23H34O7","SR","time zero","50 kPa"
"C23H34O7","CPCRW","drought","1.5 kPa"
"C23H34O7","SR","drought","1.5 kPa"
"C23H34O7","DWP","drought","50 kPa"
"C23H34O7","SR","field moist","50 kPa"
"C23H34O7","CPCRW","time zero","1.5 kPa"
"C23H34O7","CPCRW","time zero","50 kPa"
"C23H34O7","SR","flood","50 kPa"
"C23H34O7","SR","flood","1.5 kPa"
"C23H34O7","DWP","flood","1.5 kPa"
"C20H38O7S1","CPCRW","field moist","50 kPa"
"C20H38O7S1","CPCRW","drought","50 kPa"
"C20H38O7S1","SR","drought","50 kPa"
"C20H38O7S1","SR","field moist","1.5 kPa"
"C20H38O7S1","CPCRW","flood","50 kPa"
"C20H38O7S1","DWP","time zero","50 kPa"
"C20H38O7S1","CPCRW","flood","1.5 kPa"
"C20H38O7S1","CPCRW","field moist","1.5 kPa"
"C20H38O7S1","CPCRW","drought","1.5 kPa"
"C20H38O7S1","DWP","time zero","1.5 kPa"
"C20H38O7S1","DWP","field moist","1.5 kPa"
"C20H38O7S1","DWP","drought","1.5 kPa"
"C20H38O7S1","SR","time zero","1.5 kPa"
"C20H38O7S1","DWP","flood","50 kPa"
"C20H38O7S1","DWP","field moist","50 kPa"
"C20H38O7S1","SR","time zero","50 kPa"
"C20H38O7S1","SR","drought","1.5 kPa"
"C20H38O7S1","DWP","drought","50 kPa"
"C20H38O7S1","SR","field moist","50 kPa"
"C20H38O7S1","CPCRW","time zero","1.5 kPa"
"C20H38O7S1","CPCRW","time zero","50 kPa"
"C20H38O7S1","SR","flood","50 kPa"
"C20H38O7S1","SR","flood","1.5 kPa"
"C20H38O7S1","DWP","flood","1.5 kPa"
"C20H38O9","SR","field moist","1.5 kPa"
"C20H38O9","CPCRW","flood","50 kPa"
"C20H38O9","DWP","time zero","50 kPa"
"C20H38O9","CPCRW","flood","1.5 kPa"
"C20H38O9","CPCRW","field moist","1.5 kPa"
"C20H38O9","CPCRW","drought","1.5 kPa"
"C20H38O9","DWP","field moist","1.5 kPa"
"C20H38O9","SR","time zero","1.5 kPa"
"C20H38O9","SR","time zero","50 kPa"
"C20H38O9","DWP","drought","50 kPa"
"C20H38O9","CPCRW","time zero","1.5 kPa"
"C20H38O9","SR","flood","50 kPa"
"C24H38O6","CPCRW","drought","50 kPa"
"C24H38O6","CPCRW","flood","50 kPa"
"C24H38O6","CPCRW","flood","1.5 kPa"
"C24H38O6","CPCRW","field moist","1.5 kPa"
"C24H38O6","DWP","field moist","50 kPa"
"C24H38O6","DWP","drought","50 kPa"
"C24H38O6","CPCRW","time zero","1.5 kPa"
"C24H38O6","CPCRW","time zero","50 kPa"
"C24H38O6","SR","flood","50 kPa"
"C24H38O6","CPCRW","field moist","50 kPa"
"C22H46O7","CPCRW","time zero","1.5 kPa"
"C16H25O10N1S1","DWP","time zero","50 kPa"
"C16H25O10N1S1","DWP","time zero","1.5 kPa"
"C17H30O9N1P1","SR","field moist","1.5 kPa"
"C17H30O9N1P1","DWP","time zero","1.5 kPa"
"C17H30O9N1P1","DWP","field moist","1.5 kPa"
"C17H30O9N1P1","DWP","drought","1.5 kPa"
"C17H30O9N1P1","SR","time zero","1.5 kPa"
"C17H30O9N1P1","DWP","field moist","50 kPa"
"C17H30O9N1P1","SR","time zero","50 kPa"
"C17H30O9N1P1","SR","drought","1.5 kPa"
"C17H30O9N1P1","DWP","drought","50 kPa"
"C17H30O9N1P1","CPCRW","time zero","1.5 kPa"
"C17H30O9N1P1","SR","flood","50 kPa"
"C17H30O9N1P1","SR","flood","1.5 kPa"
"C17H30O9N1P1","DWP","flood","1.5 kPa"
"C17H29O11N1","DWP","time zero","50 kPa"
"C25H33O3N3","SR","time zero","1.5 kPa"
"C17H12O13","CPCRW","field moist","50 kPa"
"C21H12O10","CPCRW","field moist","50 kPa"
"C21H12O10","DWP","field moist","1.5 kPa"
"C21H12O10","DWP","flood","50 kPa"
"C21H12O10","DWP","field moist","50 kPa"
"C21H12O10","DWP","flood","1.5 kPa"
"C18H16O12","CPCRW","field moist","50 kPa"
"C18H16O12","CPCRW","drought","50 kPa"
"C18H16O12","CPCRW","flood","50 kPa"
"C18H16O12","DWP","time zero","50 kPa"
"C18H16O12","CPCRW","flood","1.5 kPa"
"C18H16O12","CPCRW","field moist","1.5 kPa"
"C18H16O12","CPCRW","drought","1.5 kPa"
"C18H16O12","DWP","field moist","1.5 kPa"
"C18H16O12","DWP","flood","50 kPa"
"C18H16O12","DWP","field moist","50 kPa"
"C18H16O12","SR","time zero","50 kPa"
"C18H16O12","DWP","drought","50 kPa"
"C18H16O12","CPCRW","time zero","1.5 kPa"
"C18H16O12","CPCRW","time zero","50 kPa"
"C18H16O12","SR","flood","1.5 kPa"
"C18H16O12","DWP","flood","1.5 kPa"
"C26H17O2S1P1","DWP","drought","1.5 kPa"
"C22H16O9","CPCRW","field moist","50 kPa"
"C22H16O9","CPCRW","drought","50 kPa"
"C22H16O9","CPCRW","flood","50 kPa"
"C22H16O9","DWP","time zero","50 kPa"
"C22H16O9","DWP","field moist","1.5 kPa"
"C22H16O9","DWP","field moist","50 kPa"
"C22H16O9","DWP","drought","50 kPa"
"C22H16O9","CPCRW","time zero","50 kPa"
"C22H16O9","DWP","flood","50 kPa"
"C22H16O9","DWP","flood","1.5 kPa"
"C12H24O14S1","DWP","time zero","50 kPa"
"C12H24O14S1","DWP","time zero","1.5 kPa"
"C12H25O14P1","DWP","time zero","50 kPa"
"C12H25O14P1","CPCRW","drought","1.5 kPa"
"C19H20O11","CPCRW","field moist","50 kPa"
"C19H20O11","CPCRW","drought","50 kPa"
"C19H20O11","SR","drought","50 kPa"
"C19H20O11","CPCRW","flood","50 kPa"
"C19H20O11","DWP","time zero","50 kPa"
"C19H20O11","CPCRW","flood","1.5 kPa"
"C19H20O11","CPCRW","field moist","1.5 kPa"
"C19H20O11","CPCRW","drought","1.5 kPa"
"C19H20O11","DWP","field moist","1.5 kPa"
"C19H20O11","DWP","drought","1.5 kPa"
"C19H20O11","SR","time zero","1.5 kPa"
"C19H20O11","DWP","flood","50 kPa"
"C19H20O11","DWP","field moist","50 kPa"
"C19H20O11","SR","time zero","50 kPa"
"C19H20O11","DWP","drought","50 kPa"
"C19H20O11","SR","field moist","50 kPa"
"C19H20O11","CPCRW","time zero","1.5 kPa"
"C19H20O11","CPCRW","time zero","50 kPa"
"C19H20O11","SR","flood","50 kPa"
"C19H20O11","SR","flood","1.5 kPa"
"C19H20O11","DWP","flood","1.5 kPa"
"C23H20O8","CPCRW","field moist","50 kPa"
"C23H20O8","CPCRW","flood","50 kPa"
"C23H20O8","DWP","field moist","1.5 kPa"
"C23H20O8","DWP","field moist","50 kPa"
"C23H20O8","DWP","flood","50 kPa"
"C16H24O13","DWP","time zero","50 kPa"
"C20H24O10","CPCRW","field moist","50 kPa"
"C20H24O10","CPCRW","drought","50 kPa"
"C20H24O10","SR","drought","50 kPa"
"C20H24O10","SR","field moist","1.5 kPa"
"C20H24O10","CPCRW","flood","50 kPa"
"C20H24O10","DWP","time zero","50 kPa"
"C20H24O10","CPCRW","flood","1.5 kPa"
"C20H24O10","CPCRW","field moist","1.5 kPa"
"C20H24O10","CPCRW","drought","1.5 kPa"
"C20H24O10","DWP","time zero","1.5 kPa"
"C20H24O10","DWP","field moist","1.5 kPa"
"C20H24O10","DWP","drought","1.5 kPa"
"C20H24O10","SR","time zero","1.5 kPa"
"C20H24O10","DWP","flood","50 kPa"
"C20H24O10","DWP","field moist","50 kPa"
"C20H24O10","SR","time zero","50 kPa"
"C20H24O10","SR","drought","1.5 kPa"
"C20H24O10","DWP","drought","50 kPa"
"C20H24O10","SR","field moist","50 kPa"
"C20H24O10","CPCRW","time zero","1.5 kPa"
"C20H24O10","CPCRW","time zero","50 kPa"
"C20H24O10","SR","flood","50 kPa"
"C20H24O10","SR","flood","1.5 kPa"
"C20H24O10","DWP","flood","1.5 kPa"
"C24H24O7","CPCRW","flood","50 kPa"
"C24H24O7","DWP","field moist","50 kPa"
"C17H28O12","DWP","time zero","50 kPa"
"C21H28O9","CPCRW","field moist","50 kPa"
"C21H28O9","CPCRW","drought","50 kPa"
"C21H28O9","SR","drought","50 kPa"
"C21H28O9","SR","field moist","1.5 kPa"
"C21H28O9","CPCRW","flood","50 kPa"
"C21H28O9","DWP","time zero","50 kPa"
"C21H28O9","CPCRW","flood","1.5 kPa"
"C21H28O9","CPCRW","field moist","1.5 kPa"
"C21H28O9","CPCRW","drought","1.5 kPa"
"C21H28O9","DWP","time zero","1.5 kPa"
"C21H28O9","DWP","field moist","1.5 kPa"
"C21H28O9","DWP","drought","1.5 kPa"
"C21H28O9","SR","time zero","1.5 kPa"
"C21H28O9","DWP","flood","50 kPa"
"C21H28O9","DWP","field moist","50 kPa"
"C21H28O9","SR","time zero","50 kPa"
"C21H28O9","SR","drought","1.5 kPa"
"C21H28O9","DWP","drought","50 kPa"
"C21H28O9","SR","field moist","50 kPa"
"C21H28O9","CPCRW","time zero","1.5 kPa"
"C21H28O9","CPCRW","time zero","50 kPa"
"C21H28O9","SR","flood","50 kPa"
"C21H28O9","SR","flood","1.5 kPa"
"C21H28O9","DWP","flood","1.5 kPa"
"C18H32O9S1","DWP","time zero","50 kPa"
"C18H32O11","CPCRW","drought","50 kPa"
"C18H32O11","DWP","time zero","50 kPa"
"C22H32O8","CPCRW","field moist","50 kPa"
"C22H32O8","CPCRW","drought","50 kPa"
"C22H32O8","SR","drought","50 kPa"
"C22H32O8","SR","field moist","1.5 kPa"
"C22H32O8","CPCRW","flood","50 kPa"
"C22H32O8","DWP","time zero","50 kPa"
"C22H32O8","CPCRW","flood","1.5 kPa"
"C22H32O8","CPCRW","field moist","1.5 kPa"
"C22H32O8","CPCRW","drought","1.5 kPa"
"C22H32O8","DWP","time zero","1.5 kPa"
"C22H32O8","DWP","field moist","1.5 kPa"
"C22H32O8","DWP","drought","1.5 kPa"
"C22H32O8","SR","time zero","1.5 kPa"
"C22H32O8","DWP","flood","50 kPa"
"C22H32O8","DWP","field moist","50 kPa"
"C22H32O8","SR","time zero","50 kPa"
"C22H32O8","SR","drought","1.5 kPa"
"C22H32O8","DWP","drought","50 kPa"
"C22H32O8","SR","field moist","50 kPa"
"C22H32O8","CPCRW","time zero","1.5 kPa"
"C22H32O8","CPCRW","time zero","50 kPa"
"C22H32O8","SR","flood","50 kPa"
"C22H32O8","SR","flood","1.5 kPa"
"C22H32O8","DWP","flood","1.5 kPa"
"C19H36O10","SR","field moist","1.5 kPa"
"C19H36O10","CPCRW","flood","50 kPa"
"C19H36O10","DWP","time zero","50 kPa"
"C19H36O10","CPCRW","drought","1.5 kPa"
"C19H36O10","SR","time zero","1.5 kPa"
"C19H36O10","SR","time zero","50 kPa"
"C19H36O10","CPCRW","drought","50 kPa"
"C19H36O10","SR","flood","50 kPa"
"C23H36O7","CPCRW","field moist","50 kPa"
"C23H36O7","CPCRW","drought","50 kPa"
"C23H36O7","SR","drought","50 kPa"
"C23H36O7","SR","field moist","1.5 kPa"
"C23H36O7","CPCRW","flood","50 kPa"
"C23H36O7","DWP","time zero","50 kPa"
"C23H36O7","CPCRW","flood","1.5 kPa"
"C23H36O7","CPCRW","field moist","1.5 kPa"
"C23H36O7","DWP","field moist","1.5 kPa"
"C23H36O7","DWP","drought","1.5 kPa"
"C23H36O7","SR","time zero","1.5 kPa"
"C23H36O7","DWP","field moist","50 kPa"
"C23H36O7","CPCRW","drought","1.5 kPa"
"C23H36O7","DWP","drought","50 kPa"
"C23H36O7","CPCRW","time zero","1.5 kPa"
"C23H36O7","CPCRW","time zero","50 kPa"
"C23H36O7","DWP","flood","50 kPa"
"C23H36O7","SR","flood","50 kPa"
"C23H36O7","SR","time zero","50 kPa"
"C23H36O7","SR","field moist","50 kPa"
"C24H40O6","CPCRW","flood","1.5 kPa"
"C24H40O6","SR","flood","50 kPa"
"C19H23O10N1","CPCRW","field moist","50 kPa"
"C17H31O11N1","DWP","time zero","50 kPa"
"C15H6O11S2","SR","flood","50 kPa"
"C15H6O11S2","SR","field moist","50 kPa"
"C20H10O11","DWP","field moist","50 kPa"
"C17H14O13","CPCRW","field moist","50 kPa"
"C17H14O13","CPCRW","drought","50 kPa"
"C17H14O13","DWP","field moist","1.5 kPa"
"C17H14O13","DWP","flood","50 kPa"
"C17H14O13","DWP","field moist","50 kPa"
"C17H14O13","CPCRW","time zero","50 kPa"
"C21H14O10","CPCRW","field moist","50 kPa"
"C21H14O10","CPCRW","drought","50 kPa"
"C21H14O10","CPCRW","flood","50 kPa"
"C21H14O10","DWP","time zero","50 kPa"
"C21H14O10","DWP","field moist","1.5 kPa"
"C21H14O10","DWP","field moist","50 kPa"
"C21H14O10","DWP","drought","50 kPa"
"C21H14O10","CPCRW","time zero","50 kPa"
"C21H14O10","DWP","flood","50 kPa"
"C21H14O10","SR","flood","1.5 kPa"
"C21H14O10","DWP","flood","1.5 kPa"
"C18H18O10S1","DWP","time zero","50 kPa"
"C18H18O12","CPCRW","field moist","50 kPa"
"C18H18O12","CPCRW","drought","50 kPa"
"C18H18O12","SR","drought","50 kPa"
"C18H18O12","CPCRW","flood","50 kPa"
"C18H18O12","DWP","time zero","50 kPa"
"C18H18O12","CPCRW","flood","1.5 kPa"
"C18H18O12","CPCRW","field moist","1.5 kPa"
"C18H18O12","CPCRW","drought","1.5 kPa"
"C18H18O12","DWP","time zero","1.5 kPa"
"C18H18O12","DWP","field moist","1.5 kPa"
"C18H18O12","DWP","flood","50 kPa"
"C18H18O12","DWP","field moist","50 kPa"
"C18H18O12","SR","time zero","50 kPa"
"C18H18O12","DWP","drought","50 kPa"
"C18H18O12","CPCRW","time zero","1.5 kPa"
"C18H18O12","CPCRW","time zero","50 kPa"
"C18H18O12","SR","flood","1.5 kPa"
"C18H18O12","DWP","flood","1.5 kPa"
"C15H22O12S1","DWP","time zero","50 kPa"
"C15H22O12S1","DWP","time zero","1.5 kPa"
"C22H18O9","CPCRW","field moist","50 kPa"
"C22H18O9","CPCRW","drought","50 kPa"
"C22H18O9","CPCRW","flood","50 kPa"
"C22H18O9","DWP","time zero","50 kPa"
"C22H18O9","DWP","field moist","1.5 kPa"
"C22H18O9","DWP","field moist","50 kPa"
"C22H18O9","DWP","drought","50 kPa"
"C22H18O9","CPCRW","time zero","50 kPa"
"C22H18O9","DWP","flood","50 kPa"
"C22H18O9","SR","flood","1.5 kPa"
"C22H18O9","DWP","flood","1.5 kPa"
"C15H22O14","DWP","time zero","50 kPa"
"C19H22O11","CPCRW","field moist","50 kPa"
"C19H22O11","CPCRW","drought","50 kPa"
"C19H22O11","SR","drought","50 kPa"
"C19H22O11","SR","field moist","1.5 kPa"
"C19H22O11","CPCRW","flood","50 kPa"
"C19H22O11","DWP","time zero","50 kPa"
"C19H22O11","CPCRW","flood","1.5 kPa"
"C19H22O11","CPCRW","field moist","1.5 kPa"
"C19H22O11","CPCRW","drought","1.5 kPa"
"C19H22O11","DWP","time zero","1.5 kPa"
"C19H22O11","DWP","field moist","1.5 kPa"
"C19H22O11","DWP","drought","1.5 kPa"
"C19H22O11","SR","time zero","1.5 kPa"
"C19H22O11","DWP","flood","50 kPa"
"C19H22O11","DWP","field moist","50 kPa"
"C19H22O11","SR","time zero","50 kPa"
"C19H22O11","SR","drought","1.5 kPa"
"C19H22O11","DWP","drought","50 kPa"
"C19H22O11","SR","field moist","50 kPa"
"C19H22O11","CPCRW","time zero","1.5 kPa"
"C19H22O11","CPCRW","time zero","50 kPa"
"C19H22O11","SR","flood","50 kPa"
"C19H22O11","SR","flood","1.5 kPa"
"C19H22O11","DWP","flood","1.5 kPa"
"C16H26O11S1","DWP","time zero","50 kPa"
"C16H27O11P1","DWP","time zero","50 kPa"
"C16H27O11P1","DWP","drought","50 kPa"
"C23H22O8","CPCRW","field moist","50 kPa"
"C23H22O8","CPCRW","drought","50 kPa"
"C23H22O8","CPCRW","flood","50 kPa"
"C23H22O8","DWP","time zero","50 kPa"
"C23H22O8","CPCRW","flood","1.5 kPa"
"C23H22O8","DWP","field moist","1.5 kPa"
"C23H22O8","DWP","field moist","50 kPa"
"C23H22O8","DWP","drought","50 kPa"
"C23H22O8","CPCRW","time zero","1.5 kPa"
"C23H22O8","CPCRW","time zero","50 kPa"
"C23H22O8","DWP","flood","50 kPa"
"C16H26O13","CPCRW","drought","50 kPa"
"C16H26O13","CPCRW","flood","50 kPa"
"C16H26O13","DWP","time zero","50 kPa"
"C20H27O8P1","CPCRW","drought","1.5 kPa"
"C20H27O8P1","DWP","field moist","50 kPa"
"C20H27O8P1","DWP","drought","50 kPa"
"C15H26O12N2","DWP","time zero","50 kPa"
"C20H26O10","CPCRW","field moist","50 kPa"
"C20H26O10","CPCRW","drought","50 kPa"
"C20H26O10","SR","drought","50 kPa"
"C20H26O10","SR","field moist","1.5 kPa"
"C20H26O10","CPCRW","flood","50 kPa"
"C20H26O10","DWP","time zero","50 kPa"
"C20H26O10","CPCRW","flood","1.5 kPa"
"C20H26O10","CPCRW","field moist","1.5 kPa"
"C20H26O10","CPCRW","drought","1.5 kPa"
"C20H26O10","DWP","time zero","1.5 kPa"
"C20H26O10","DWP","field moist","1.5 kPa"
"C20H26O10","DWP","drought","1.5 kPa"
"C20H26O10","SR","time zero","1.5 kPa"
"C20H26O10","DWP","flood","50 kPa"
"C20H26O10","DWP","field moist","50 kPa"
"C20H26O10","SR","time zero","50 kPa"
"C20H26O10","SR","drought","1.5 kPa"
"C20H26O10","DWP","drought","50 kPa"
"C20H26O10","SR","field moist","50 kPa"
"C20H26O10","CPCRW","time zero","1.5 kPa"
