"","formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"5155","C20H34O9","Protein","aliphatic","aliphatic",-0.0323,-0.8,1.7,0.45,-5,4,-0.25
"5156","C24H34O6","Lignin","unsaturated/lignin","unsaturated/lignin",0.2381,-0.9167,1.42,0.25,2,8,0.0833
"5157","C23H34O5N2","Lignin","unsaturated/lignin","unsaturated/lignin",0.1892,-0.7826,1.48,0.22,1,8,0.0435
"5158","C21H38O8","Protein","aliphatic","aliphatic",-0.0588,-1.0476,1.81,0.38,-5,3,-0.2381
"5159","C20H38O7N2","Protein","aliphatic","aliphatic+N",-0.1724,-0.9,1.9,0.35,-6,3,-0.3
"5160","C25H38O5","Lipid","aliphatic","aliphatic",0.2,-1.12,1.52,0.2,2,7,0.08
"5161","C22H42O7","Protein","aliphatic","aliphatic",-0.0811,-1.2727,1.91,0.32,-5,2,-0.2273
"5162","C23H46O6","Lipid","aliphatic","lipid",-0.1,-1.4783,2,0.26,-5,1,-0.2174
"5163","C18H13O11N1","ConHC","aromatic","aromatic",0.5652,0.6667,0.72,0.61,1,13,0.0556
"5164","C19H17O6N1S2","Lignin","unsaturated/lignin","unsaturated/lignin",0.4615,0.1053,0.89,0.32,3,12,0.1579
"5165","C19H17O10N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.4615,0.3158,0.89,0.53,1,12,0.0526
"5166","C20H21O7N1S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.3793,-0.1,1.05,0.35,2,11,0.1
"5167","C20H21O9N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.3793,0,1.05,0.45,1,11,0.05
"5168","C17H25O9N1S1","Lignin","unsaturated/lignin","unsaturated/lignin",-0.0476,-0.1176,1.47,0.53,-5,6,-0.2941
"5169","C23H21O3N3S1","Lignin","aromatic","aromatic",0.5429,-0.1739,0.91,0.13,8,15,0.3478
"5170","C21H25O8N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.3125,-0.2857,1.19,0.38,1,10,0.0476
"5171","C22H29O5N1S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2571,-0.6364,1.32,0.23,2,9,0.0909
"5172","C22H29O7N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2571,-0.5455,1.32,0.32,1,9,0.0455
"5173","C25H29O1N3S1","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.4146,-0.64,1.16,0.04,8,13,0.32
"5174","C21H29O6N3","Lignin","unsaturated/lignin","unsaturated/lignin",0.2,-0.381,1.38,0.29,0,9,0
"5175","C23H33O6N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2105,-0.7826,1.43,0.26,1,8,0.0435
"5176","C20H37O8N1","Protein","aliphatic","aliphatic+N",-0.1333,-0.9,1.85,0.4,-6,3,-0.3
"5177","C25H41O4N1","Lipid","aliphatic","aliphatic+N",0.1364,-1.2,1.64,0.16,1,6,0.04
"5178","C20H5O7S1P1","ConHC","condensed aromatic","condensed aromatic",0.931,0.55,0.25,0.35,10,19,0.5
"5179","C13H9O12S1P1","ConHC","unsaturated/lignin","unsaturated/lignin",0.4,1.3077,0.69,0.92,-4,10,-0.3077
"5180","C17H8O9S2","ConHC","condensed aromatic","condensed aromatic",0.7143,0.8235,0.47,0.53,3,14,0.1765
"5181","C13H12O10N2S2","Tannin","unsaturated/lignin","unsaturated/lignin",0,1.3846,0.92,0.77,-5,9,-0.3846
"5182","C21H8O10","ConHC","condensed aromatic","condensed aromatic",0.8125,0.5714,0.38,0.48,8,18,0.381
"5183","C14H12O15","Tannin","unsaturated/lignin","unsaturated/lignin",0.2308,1.2857,0.86,1.07,-6,9,-0.4286
"5184","C18H12O12","ConHC","aromatic","aromatic",0.5833,0.6667,0.67,0.67,1,13,0.0556
"5185","C12H20O12S2","Carb","aliphatic","aliphatic",-1.25,0.6667,1.67,1,-11,3,-0.9167
"5186","C22H12O9","ConHC","condensed aromatic","condensed aromatic",0.7143,0.2727,0.55,0.41,8,17,0.3636
"5187","C11H20O11N2S2","Carb","aliphatic","aliphatic+N",-4.3333,1.0909,1.82,1,-12,3,-1.0909
"5188","C21H13O6N2P1","ConHC","condensed aromatic","condensed aromatic",0.7333,0.2381,0.62,0.29,8,17,0.381
"5189","C15H16O14","Tannin","unsaturated/lignin","unsaturated/lignin",0.125,0.8,1.07,0.93,-6,8,-0.4
"5190","C33H8O1","ConHC","condensed aromatic","condensed aromatic",0.9077,-0.1818,0.24,0.03,29,30,0.8788
"5191","C23H17O4S1P1","ConHC","aromatic","aromatic",0.6316,-0.3043,0.74,0.17,10,16,0.4348
"5192","C12H21O14P1","Other","aliphatic","aliphatic",-1.25,0.5833,1.75,1.17,-12,3,-1
"5193","C19H16O11","Lignin","unsaturated/lignin","unsaturated/lignin",0.4815,0.3158,0.84,0.58,1,12,0.0526
"5194","C20H20O6S2","Lignin","unsaturated/lignin","unsaturated/lignin",0.4,-0.2,1,0.3,3,11,0.15
"5195","C16H20O11S1","Tannin","unsaturated/lignin","unsaturated/lignin",0.0526,0.25,1.25,0.69,-5,7,-0.3125
"5196","C18H16O10N2","Lignin","unsaturated/lignin","unsaturated/lignin",0.4545,0.5556,0.89,0.56,0,12,0
"5197","C23H16O8","ConHC","aromatic","aromatic",0.6316,0,0.7,0.35,8,16,0.3478
"5198","C13H25O11S1P1","Carb","aliphatic","aliphatic",-1,-0.0769,1.92,0.85,-11,2,-0.8462
"5199","C22H17O5N2P1","ConHC","aromatic","aromatic",0.6364,-0.0455,0.77,0.23,8,16,0.3636
"5200","C20H20O8S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.4,-0.1,1,0.4,2,11,0.1
"5201","C16H20O13","Tannin","unsaturated/lignin","unsaturated/lignin",0.0526,0.375,1.25,0.81,-6,7,-0.375
"5202","C13H25O13P1","Carb","aliphatic","aliphatic",-1,0.0769,1.92,1,-12,2,-0.9231
"5203","C20H20O10","Lignin","unsaturated/lignin","unsaturated/lignin",0.4,0,1,0.5,1,11,0.05
