"","formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"9473","C15H21O18P1","Other","unsaturated/lignin","unsaturated/lignin",-0.8,1,1.4,1.2,-13,6,-0.8667
"9474","C22H16O15","ConHC","aromatic","aromatic",0.5172,0.6364,0.73,0.68,0,15,0
"9475","C19H20O15S1","Tannin","unsaturated/lignin","unsaturated/lignin",0.1429,0.6316,1.05,0.79,-6,10,-0.3158
"9476","C22H21O7N2S2P1","Lignin","unsaturated/lignin","unsaturated/lignin",0.4074,0.1364,0.95,0.32,2,14,0.0909
"9477","C26H16O12","ConHC","aromatic","aromatic",0.65,0.3077,0.62,0.46,7,19,0.2692
"9478","C34H17O2S1P1","ConHC","condensed aromatic","condensed aromatic",0.7742,-0.3235,0.5,0.06,23,27,0.6765
"9479","C19H20O17","Tannin","unsaturated/lignin","unsaturated/lignin",0.1429,0.7368,1.05,0.89,-7,10,-0.3684
"9480","C20H25O12S1P1","Lignin","unsaturated/lignin","unsaturated/lignin",0.0833,0.05,1.25,0.6,-5,9,-0.25
"9481","C19H24O11N2S2","Lignin","unsaturated/lignin","unsaturated/lignin",-0.0526,0.4211,1.26,0.58,-6,9,-0.3158
"9482","C27H20O9S1","ConHC","aromatic","aromatic",0.5814,0,0.74,0.33,8,18,0.2963
"9483","C23H20O14","Lignin","unsaturated/lignin","unsaturated/lignin",0.4375,0.3478,0.87,0.61,0,14,0
"9484","C27H20O11","ConHC","aromatic","aromatic",0.5814,0.0741,0.74,0.41,7,18,0.2593
"9485","C20H24O16","Tannin","unsaturated/lignin","unsaturated/lignin",0.0833,0.4,1.2,0.8,-7,9,-0.35
"9486","C20H28O10N2S2","Lignin","unsaturated/lignin","unsaturated/lignin",-0.0909,0.1,1.4,0.5,-6,8,-0.3
"9487","C17H29O16P1","Carb","aliphatic","aliphatic",-0.625,0.1765,1.71,0.94,-13,4,-0.7647
"9488","C24H24O13","Lignin","unsaturated/lignin","unsaturated/lignin",0.3714,0.0833,1,0.54,0,13,0
"9489","C21H28O13S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.037,0,1.33,0.62,-6,8,-0.2857
"9490","C17H28O18","Other","aliphatic","aliphatic",-0.625,0.4706,1.65,1.06,-14,4,-0.8235
"9491","C28H24O10","Lignin","aromatic","aromatic",0.5217,-0.1429,0.86,0.36,7,17,0.25
"9492","C21H28O15","Tannin","unsaturated/lignin","unsaturated/lignin",0.037,0.0952,1.33,0.71,-7,8,-0.3333
"9493","C29H29O5S1P1","Lignin","unsaturated/lignin","unsaturated/lignin",0.4694,-0.5862,1,0.17,9,16,0.3103
"9494","C21H32O9N2S2","Protein","aliphatic","aliphatic+N",-0.12,-0.1905,1.52,0.43,-6,7,-0.2857
"9495","C18H33O15P1","Carb","aliphatic","aliphatic",-0.5789,-0.1667,1.83,0.83,-13,3,-0.7222
"9496","C19H37O10S2P1","Protein","aliphatic","aliphatic",-0.5455,-0.6842,1.95,0.53,-11,2,-0.5789
"9497","C25H28O12","Lignin","unsaturated/lignin","unsaturated/lignin",0.3158,-0.16,1.12,0.48,0,12,0
"9498","C24H29O9N2P1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2727,-0.2083,1.21,0.38,0,12,0
"9499","C22H32O12S1","Lignin","unsaturated/lignin","unsaturated/lignin",0,-0.2727,1.45,0.55,-6,7,-0.2727
"9500","C31H24O6N2","ConHC","aromatic","aromatic",0.6154,-0.1935,0.77,0.19,13,21,0.4194
"9501","C18H32O17","Carb","aliphatic","aliphatic",-0.5789,0.1111,1.78,0.94,-14,3,-0.7778
"9502","C36H24O4","ConHC","condensed aromatic","condensed aromatic",0.6765,-0.4444,0.67,0.11,21,25,0.5833
"9503","C29H28O9","Lignin","unsaturated/lignin","unsaturated/lignin",0.4694,-0.3448,0.97,0.31,7,16,0.2414
"9504","C22H32O14","Lignin","unsaturated/lignin","unsaturated/lignin",0,-0.1818,1.45,0.64,-7,7,-0.3182
"9505","C26H32O11","Lignin","unsaturated/lignin","unsaturated/lignin",0.2683,-0.3846,1.23,0.42,0,11,0
"9506","C25H33O8N2P1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2222,-0.44,1.32,0.32,0,11,0
"9507","C23H36O11S1","Protein","aliphatic","aliphatic",-0.0303,-0.5217,1.57,0.48,-6,6,-0.2609
"9508","C34H33O1S1P1","UnsatHC","aromatic","aromatic",0.5238,-0.8529,0.97,0.03,16,19,0.4706
"9509","C19H36O16","Carb","aliphatic","aliphatic",-0.5455,-0.2105,1.89,0.84,-14,2,-0.7368
"9510","C23H36O13","AminoSugar","aliphatic","aliphatic",-0.0303,-0.4348,1.57,0.57,-7,6,-0.3043
"9511","C19H41O10N2S1P1","Protein","aliphatic","lipid",-0.8,-0.6842,2.16,0.53,-13,1,-0.6842
"9512","C27H36O10","Lignin","unsaturated/lignin","unsaturated/lignin",0.2273,-0.5926,1.33,0.37,0,10,0
"9513","C24H40O10S1","Protein","aliphatic","aliphatic",-0.0556,-0.75,1.67,0.42,-6,5,-0.25
"9514","C19H40O14N2","Carb","aliphatic","lipid",-0.8,-0.3158,2.11,0.74,-15,1,-0.7895
"9515","C28H40O7S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.1915,-0.8571,1.43,0.25,1,9,0.0357
"9516","C24H40O12","Protein","aliphatic","aliphatic",-0.0556,-0.6667,1.67,0.5,-7,5,-0.2917
"9517","C20H45O9N2S1P1","Protein","aliphatic","lipid",-0.7391,-0.95,2.25,0.45,-13,0,-0.65
"9518","C28H40O9","Lignin","unsaturated/lignin","unsaturated/lignin",0.1915,-0.7857,1.43,0.32,0,9,0
"9519","C27H41O6N2P1","Lipid","aliphatic","aliphatic+N",0.1429,-0.8519,1.52,0.22,0,9,0
"9520","C25H44O9S1","Protein","aliphatic","aliphatic",-0.0769,-0.96,1.76,0.36,-6,4,-0.24
"9521","C27H40O8N2","Lignin","unsaturated/lignin","unsaturated/lignin",0.1429,-0.6667,1.48,0.3,-1,9,-0.037
"9522","C28H44O3N2S2","Lipid","aliphatic","aliphatic+N",0.1111,-1,1.57,0.11,1,8,0.0357
"9523","C25H44O11","Protein","aliphatic","aliphatic",-0.0769,-0.88,1.76,0.44,-7,4,-0.28
"9524","C33H44O3S1","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.3115,-1.0909,1.33,0.09,8,12,0.2424
"9525","C29H44O8","Lipid","aliphatic","aliphatic",0.16,-0.9655,1.52,0.28,0,8,0
"9526","C26H48O10","Protein","aliphatic","aliphatic",-0.0952,-1.0769,1.85,0.38,-7,3,-0.2692
"9527","C29H48O4N2S1","Lipid","aliphatic","aliphatic+N",0.0833,-1.1034,1.66,0.14,0,7,0
"9528","C30H48O7","Lipid","aliphatic","aliphatic",0.1321,-1.1333,1.6,0.23,0,7,0
"9529","C29H48O6N2","Lipid","aliphatic","aliphatic+N",0.0833,-1.0345,1.66,0.21,-1,7,-0.0345
"9530","C26H52O6N2S1","Lipid","aliphatic","lipid",-0.2,-1.2308,2,0.23,-7,2,-0.2692
"9531","C27H52O9","Protein","aliphatic","aliphatic",-0.1111,-1.2593,1.93,0.33,-7,2,-0.2593
"9532","C31H52O6","Lipid","aliphatic","aliphatic",0.1071,-1.2903,1.68,0.19,0,6,0
"9533","C28H57O6P1","Lipid","aliphatic","lipid",-0.125,-1.6071,2.04,0.21,-6,1,-0.2143
"9534","C28H56O8","Lipid","aliphatic","lipid",-0.125,-1.4286,2,0.29,-7,1,-0.25
"9535","C35H68O2","Lipid","aliphatic","aliphatic",0.0294,-1.8286,1.94,0.06,0,2,0
"9536","C21H15O15N1","ConHC","aromatic","aromatic",0.52,0.8571,0.71,0.71,-1,15,-0.0476
"9537","C22H19O14N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.4286,0.5455,0.86,0.64,-1,14,-0.0455
"9538","C23H23O13N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.3548,0.2609,1,0.57,-1,13,-0.0435
"9539","C24H27O10N1S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2941,-0.0833,1.12,0.42,0,12,0
"9540","C24H27O12N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2941,0,1.12,0.5,-1,12,-0.0417
"9541","C21H31O14N1","Tannin","unsaturated/lignin","unsaturated/lignin",-0.0769,0,1.48,0.67,-8,7,-0.381
"9542","C25H31O11N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2432,-0.24,1.24,0.44,-1,11,-0.04
"9543","C22H35O13N1","AminoSugar","aliphatic","aliphatic+N",-0.1034,-0.2727,1.59,0.59,-8,6,-0.3636
"9544","C26H35O10N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2,-0.4615,1.35,0.38,-1,10,-0.0385
"9545","C19H39O15N1","Carb","aliphatic","lipid",-0.7143,-0.3158,2.05,0.79,-15,1,-0.7895
"9546","C34H35O2N1S1","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.4839,-0.7647,1.03,0.06,14,18,0.4118
"9547","C23H39O12N1","Protein","aliphatic","aliphatic+N",-0.125,-0.5217,1.7,0.52,-8,5,-0.3478
"9548","C20H43O14N1","Carb","aliphatic","lipid",-0.6667,-0.6,2.15,0.7,-15,0,-0.75
"9549","C24H44O9N1P1","Protein","aliphatic","aliphatic+N",-0.1429,-0.9583,1.83,0.38,-7,4,-0.2917
"9550","C24H43O11N1","Protein","aliphatic","aliphatic+N",-0.1429,-0.75,1.79,0.46,-8,4,-0.3333
"9551","C23H43O10N3","Protein","aliphatic","aliphatic+N",-0.2667,-0.6087,1.87,0.43,-9,4,-0.3913
"9552","C25H47O10N1","Protein","aliphatic","aliphatic+N",-0.1579,-0.96,1.88,0.4,-8,3,-0.32
"9553","C21H14O16","ConHC","aromatic","aromatic",0.5385,0.8571,0.67,0.76,-1,15,-0.0476
"9554","C18H18O16S1","Tannin","unsaturated/lignin","unsaturated/lignin",0.1111,0.8889,1,0.89,-7,10,-0.3889
"9555","C25H14O13","ConHC","condensed aromatic","condensed aromatic",0.6757,0.48,0.56,0.52,6,19,0.24
"9556","C18H18O18","Tannin","unsaturated/lignin","unsaturated/lignin",0.1111,1,1,1,-8,10,-0.4444
"9557","C22H18O15","Tannin","unsaturated/lignin","unsaturated/lignin",0.4483,0.5455,0.82,0.68,-1,14,-0.0455
"9558","C19H22O15S1","Tannin","unsaturated/lignin","unsaturated/lignin",0.0476,0.5263,1.16,0.79,-7,9,-0.3684
"9559","C26H18O12","ConHC","aromatic","aromatic",0.6,0.2308,0.69,0.46,6,18,0.2308
"9560","C19H22O17","Tannin","unsaturated/lignin","unsaturated/lignin",0.0476,0.6316,1.16,0.89,-8,9,-0.4211
"9561","C27H22O9S1","Lignin","aromatic","aromatic",0.5349,-0.0741,0.81,0.33,7,17,0.2593
"9562","C23H22O14","Lignin","unsaturated/lignin","unsaturated/lignin",0.375,0.2609,0.96,0.61,-1,13,-0.0435
"9563","C34H19O4P1","ConHC","condensed aromatic","condensed aromatic",0.7419,-0.3235,0.56,0.12,21,26,0.6176
"9564","C20H26O14S1","Tannin","unsaturated/lignin","unsaturated/lignin",0,0.2,1.3,0.7,-7,8,-0.35
"9565","C27H22O11","Lignin","aromatic","aromatic",0.5349,0,0.81,0.41,6,17,0.2222
"9566","C20H26O16","Tannin","unsaturated/lignin","unsaturated/lignin",0,0.3,1.3,0.8,-8,8,-0.4
"9567","C28H27O6S1P1","Lignin","unsaturated/lignin","unsaturated/lignin",0.4783,-0.4643,0.96,0.21,8,16,0.2857
"9568","C24H26O13","Lignin","unsaturated/lignin","unsaturated/lignin",0.3143,0,1.08,0.54,-1,12,-0.0417
"9569","C35H23O3P1","ConHC","condensed aromatic","condensed aromatic",0.6923,-0.4857,0.66,0.09,21,25,0.6
"9570","C21H30O13S1","Lignin","unsaturated/lignin","unsaturated/lignin",-0.037,-0.0952,1.43,0.62,-7,7,-0.3333
"9571","C28H26O10","Lignin","unsaturated/lignin","unsaturated/lignin",0.4783,-0.2143,0.93,0.36,6,16,0.2143
"9572","C16H30O17N2","Other","aliphatic","aliphatic+N",-1.3636,0.625,1.88,1.06,-16,3,-1
"9573","C21H30O15","Tannin","unsaturated/lignin","unsaturated/lignin",-0.037,0,1.43,0.71,-8,7,-0.381
"9574","C20H30O14N2","Carb","aliphatic","aliphatic+N",-0.1818,0.2,1.5,0.7,-9,7,-0.45
"9575","C21H34O9N2S2","Protein","aliphatic","aliphatic+N",-0.2,-0.2857,1.62,0.43,-7,6,-0.3333
"9576","C25H30O12","Lignin","unsaturated/lignin","unsaturated/lignin",0.2632,-0.24,1.2,0.48,-1,11,-0.04
"9577","C22H34O12S1","Protein","aliphatic","aliphatic",-0.0667,-0.3636,1.55,0.55,-7,6,-0.3182
"9578","C33H31O2S1P1","UnsatHC","aromatic","aromatic",0.5333,-0.7576,0.94,0.06,15,19,0.4545
"9579","C18H34O17","Carb","aliphatic","aliphatic",-0.6842,0,1.89,0.94,-15,2,-0.8333
"9580","C21H34O11N2S1","Protein","aliphatic","aliphatic+N",-0.2,-0.1905,1.62,0.52,-8,6,-0.381
"9581","C29H30O9","Lignin","unsaturated/lignin","unsaturated/lignin",0.4286,-0.4138,1.03,0.31,6,15,0.2069
"9582","C17H34O16N2","Carb","aliphatic","carbohydrate",-1.1429,0.2353,2,0.94,-16,2,-0.9412
"9583","C26H34O9S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2195,-0.5385,1.31,0.35,0,10,0
"9584","C22H34O14","AminoSugar","aliphatic","aliphatic",-0.0667,-0.2727,1.55,0.64,-8,6,-0.3636
"9585","C40H26O1","ConHC","condensed aromatic","condensed aromatic",0.6962,-0.6,0.65,0.03,27,28,0.675
"9586","C19H39O14P1","Carb","aliphatic","lipid",-0.6364,-0.5789,2.05,0.74,-14,1,-0.7368
"9587","C26H34O11","Lignin","unsaturated/lignin","unsaturated/lignin",0.2195,-0.4615,1.31,0.42,-1,10,-0.0385
"9588","C23H38O11S1","Protein","aliphatic","aliphatic",-0.0909,-0.6087,1.65,0.48,-7,5,-0.3043
"9589","C26H39O3N2S2P1","Lipid","aliphatic","aliphatic+N",0.1282,-0.8846,1.5,0.12,1,9,0.0385
"9590","C30H34O8","Lignin","unsaturated/lignin","unsaturated/lignin",0.3846,-0.6,1.13,0.27,6,14,0.2
"9591","C18H38O15N2","Carb","aliphatic","lipid",-1,-0.1111,2.11,0.83,-16,1,-0.8889
"9592","C27H38O8S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.1818,-0.7407,1.41,0.3,0,9,0
"9593","C23H38O13","AminoSugar","aliphatic","aliphatic",-0.0909,-0.5217,1.65,0.57,-8,5,-0.3478
"9594","C23H43O5N2S2P1","Lipid","aliphatic","aliphatic+N",-0.2258,-1,1.87,0.22,-6,4,-0.2609
"9595","C30H38O2N2S2","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.32,-0.8,1.27,0.07,7,13,0.2333
"9596","C27H39O8P1","Lignin","unsaturated/lignin","unsaturated/lignin",0.1818,-0.8519,1.44,0.3,0,9,0
"9597","C27H38O10","Lignin","unsaturated/lignin","unsaturated/lignin",0.1818,-0.6667,1.41,0.37,-1,9,-0.037
"9598","C27H42O4N2S2","Lipid","aliphatic","aliphatic+N",0.0952,-0.8889,1.56,0.15,0,8,0
"9599","C28H42O7S1","Lipid","aliphatic","aliphatic",0.1489,-0.9286,1.5,0.25,0,8,0
"9600","C24H42O12","Protein","aliphatic","aliphatic",-0.1111,-0.75,1.75,0.5,-8,4,-0.3333
"9601","C31H42O1N2S2","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.283,-0.9677,1.35,0.03,7,12,0.2258
"9602","C28H42O9","Protein","aliphatic","aliphatic",0.1489,-0.8571,1.5,0.32,-1,8,-0.0357
"9603","C27H42O8N2","Lipid","aliphatic","aliphatic+N",0.0952,-0.7407,1.56,0.3,-2,8,-0.0741
"9604","C25H46O11","Protein","aliphatic","aliphatic",-0.1282,-0.96,1.84,0.44,-8,3,-0.32
"9605","C26H50O6S2","Lipid","aliphatic","aliphatic",-0.1429,-1.3077,1.92,0.23,-6,2,-0.2308
"9606","C29H46O8","Lipid","aliphatic","aliphatic",0.12,-1.0345,1.59,0.28,-1,7,-0.0345
"9607","C28H46O7N2","Lipid","aliphatic","aliphatic+N",0.0667,-0.9286,1.64,0.25,-2,7,-0.0714
"9608","C26H50O10","Protein","aliphatic","aliphatic",-0.1429,-1.1538,1.92,0.38,-8,2,-0.3077
"9609","C30H50O7","Lipid","aliphatic","aliphatic",0.0943,-1.2,1.67,0.23,-1,6,-0.0333
"9610","C27H54O9","Protein","aliphatic","lipid",-0.1556,-1.3333,2,0.33,-8,1,-0.2963
"9611","C31H54O6","Lipid","aliphatic","aliphatic",0.0714,-1.3548,1.74,0.19,-1,5,-0.0323
"9612","C28H58O8","Lipid","aliphatic","lipid",-0.1667,-1.5,2.07,0.29,-8,0,-0.2857
"9613","C33H62O4","Lipid","aliphatic","aliphatic",0.0323,-1.6364,1.88,0.12,-1,3,-0.0303
"9614","C34H66O3","Lipid","aliphatic","aliphatic",0.0154,-1.7647,1.94,0.09,-1,2,-0.0294
"9615","C35H70O2","Lipid","aliphatic","lipid",0,-1.8857,2,0.06,-1,1,-0.0286
"9616","C22H21O14N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.3571,0.4545,0.95,0.64,-2,13,-0.0909
"9617","C23H25O13N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2903,0.1739,1.09,0.57,-2,12,-0.087
"9618","C16H29O18N1","Other","aliphatic","aliphatic+N",-1.1667,0.625,1.81,1.12,-16,3,-1
"9619","C24H29O12N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2353,-0.0833,1.21,0.5,-2,11,-0.0833
"9620","C21H33O12N1S1","AminoSugar","aliphatic","aliphatic+N",-0.1538,-0.1905,1.57,0.57,-8,6,-0.381
"9621","C21H33O14N1","AminoSugar","aliphatic","aliphatic+N",-0.1538,-0.0952,1.57,0.67,-9,6,-0.4286
"9622","C20H33O13N3","AminoSugar","aliphatic","aliphatic+N",-0.3333,0.1,1.65,0.65,-10,6,-0.5
"9623","C25H33O11N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.1892,-0.32,1.32,0.44,-2,10,-0.08
"9624","C22H37O13N1","AminoSugar","aliphatic","aliphatic+N",-0.1724,-0.3636,1.68,0.59,-9,5,-0.4091
"9625","C23H41O12N1","Protein","aliphatic","aliphatic+N",-0.1875,-0.6087,1.78,0.52,-9,4,-0.3913
"9626","C27H41O9N1","Protein","aliphatic","aliphatic+N",0.1163,-0.7407,1.52,0.33,-2,8,-0.0741
"9627","C24H46O9N1P1","Protein","aliphatic","aliphatic+N",-0.2,-1.0417,1.92,0.38,-8,3,-0.3333
"9628","C24H45O11N1","Protein","aliphatic","aliphatic+N",-0.2,-0.8333,1.88,0.46,-9,3,-0.375
"9629","C23H45O10N3","Protein","aliphatic","aliphatic+N",-0.3333,-0.6957,1.96,0.43,-10,3,-0.4348
"9630","C29H49O7N1","Lipid","aliphatic","aliphatic+N",0.0612,-1.1034,1.69,0.24,-2,6,-0.069
"9631","C21H16O16","ConHC","unsaturated/lignin","unsaturated/lignin",0.4615,0.7619,0.76,0.76,-2,14,-0.0952
"9632","C18H20O16S1","Tannin","unsaturated/lignin","unsaturated/lignin",0,0.7778,1.11,0.89,-8,9,-0.4444
"9633","C25H16O13","ConHC","aromatic","aromatic",0.6216,0.4,0.64,0.52,5,18,0.2
"9634","C22H20O15","Tannin","unsaturated/lignin","unsaturated/lignin",0.3793,0.4545,0.91,0.68,-2,13,-0.0909
"9635","C33H17O5P1","ConHC","condensed aromatic","condensed aromatic",0.7627,-0.2121,0.52,0.15,20,26,0.6061
"9636","C19H24O15S1","Tannin","unsaturated/lignin","unsaturated/lignin",-0.0476,0.4211,1.26,0.79,-8,8,-0.4211
"9637","C26H20O12","ConHC","aromatic","aromatic",0.55,0.1538,0.77,0.46,5,17,0.1923
"9638","C32H16O6N2","ConHC","condensed aromatic","condensed aromatic",0.7778,0.0625,0.5,0.19,18,26,0.5625
"9639","C16H29O17P1","Other","aliphatic","aliphatic",-1,0.3125,1.81,1.06,-15,3,-0.9375
"9640","C17H33O12S2P1","Carb","aliphatic","aliphatic",-0.875,-0.2941,1.94,0.71,-13,2,-0.7647
"9641","C23H24O14","Lignin","unsaturated/lignin","unsaturated/lignin",0.3125,0.1739,1.04,0.61,-2,12,-0.087
"9642","C41H16O1","ConHC","condensed aromatic","condensed aromatic",0.8272,-0.3415,0.39,0.02,33,34,0.8049
"9643","C27H24O11","Lignin","unsaturated/lignin","unsaturated/lignin",0.4884,-0.0741,0.89,0.41,5,16,0.1852
"9644","C30H25O3N2S1P1","UnsatHC","aromatic","aromatic",0.5918,-0.3667,0.83,0.1,13,20,0.4333
"9645","C24H28O11S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2571,-0.1667,1.17,0.46,-1,11,-0.0417
"9646","C20H28O16","Tannin","unsaturated/lignin","unsaturated/lignin",-0.0833,0.2,1.4,0.8,-9,7,-0.45
"9647","C24H28O13","Lignin","unsaturated/lignin","unsaturated/lignin",0.2571,-0.0833,1.17,0.54,-2,11,-0.0833
"9648","C21H32O13S1","AminoSugar","aliphatic","aliphatic",-0.1111,-0.1905,1.52,0.62,-8,6,-0.381
"9649","C32H29O3S1P1","UnsatHC","aromatic","aromatic",0.5439,-0.6562,0.91,0.09,14,19,0.4375
"9650","C23H28O12N2","Lignin","unsaturated/lignin","unsaturated/lignin",0.2,0.087,1.22,0.52,-3,11,-0.1304
"9651","C28H28O10","Lignin","unsaturated/lignin","unsaturated/lignin",0.4348,-0.2857,1,0.36,5,15,0.1786
"9652","C25H32O10S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2105,-0.4,1.28,0.4,-1,10,-0.04
"9653","C21H32O15","Carb","aliphatic","aliphatic",-0.1111,-0.0952,1.52,0.71,-9,6,-0.4286
"9654","C39H24O2","ConHC","condensed aromatic","condensed aromatic",0.7105,-0.5128,0.62,0.05,26,28,0.6667
"9655","C20H32O14N2","Carb","aliphatic","aliphatic+N",-0.2727,0.1,1.6,0.7,-10,6,-0.5
"9656","C21H36O9N2S2","Protein","aliphatic","aliphatic+N",-0.28,-0.381,1.71,0.43,-8,5,-0.381
"9657","C18H37O15P1","Carb","aliphatic","lipid",-0.7895,-0.3889,2.06,0.83,-15,1,-0.8333
"9658","C25H32O12","Lignin","unsaturated/lignin","unsaturated/lignin",0.2105,-0.32,1.28,0.48,-2,10,-0.08
"9659","C22H36O12S1","Protein","aliphatic","aliphatic",-0.1333,-0.4545,1.64,0.55,-8,5,-0.3636
"9660","C25H37O4N2S2P1","Lignin","unsaturated/lignin","unsaturated/lignin",0.1111,-0.76,1.48,0.16,0,9,0
"9661","C33H33O2S1P1","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.5,-0.8182,1,0.06,14,18,0.4242
"9662","C18H36O17","Carb","aliphatic","carbohydrate",-0.7895,-0.1111,2,0.94,-16,1,-0.8889
"9663","C21H36O11N2S1","Protein","aliphatic","aliphatic+N",-0.28,-0.2857,1.71,0.52,-9,5,-0.4286
"9664","C17H36O16N2","Carb","aliphatic","carbohydrate",-1.2857,0.1176,2.12,0.94,-17,1,-1
"9665","C22H36O14","AminoSugar","aliphatic","aliphatic",-0.1333,-0.3636,1.64,0.64,-9,5,-0.4091
"9666","C40H28O1","ConHC","condensed aromatic","condensed aromatic",0.6709,-0.65,0.7,0.03,26,27,0.65
"9667","C18H41O11N2S1P1","Other","aliphatic","lipid",-1.1176,-0.6111,2.28,0.61,-15,0,-0.8333
"9668","C21H36O13N2","AminoSugar","aliphatic","aliphatic+N",-0.28,-0.1905,1.71,0.62,-10,5,-0.4762
"9669","C26H36O11","Lignin","unsaturated/lignin","unsaturated/lignin",0.1707,-0.5385,1.38,0.42,-2,9,-0.0769
"9670","C23H40O11S1","Protein","aliphatic","aliphatic",-0.1515,-0.6957,1.74,0.48,-8,4,-0.3478
"9671","C30H36O8","Lignin","unsaturated/lignin","unsaturated/lignin",0.3462,-0.6667,1.2,0.27,5,13,0.1667
"9672","C18H40O15N2","Other","aliphatic","lipid",-1.1176,-0.2222,2.22,0.83,-17,0,-0.9444
"9673","C27H40O8S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.1364,-0.8148,1.48,0.3,-1,8,-0.037
"9674","C23H40O13","AminoSugar","aliphatic","aliphatic",-0.1515,-0.6087,1.74,0.57,-9,4,-0.3913
"9675","C30H40O2N2S2","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.28,-0.8667,1.33,0.07,6,12,0.2
"9676","C27H40O10","Lignin","unsaturated/lignin","unsaturated/lignin",0.1364,-0.7407,1.48,0.37,-2,8,-0.0741
"9677","C28H45O5S1P1","Lipid","aliphatic","aliphatic",0.1064,-1.1786,1.61,0.18,0,7,0
"9678","C31H40O7","Lignin","unsaturated/lignin","unsaturated/lignin",0.3091,-0.8387,1.29,0.23,5,12,0.1613
"9679","C28H44O7S1","Lipid","aliphatic","aliphatic",0.1064,-1,1.57,0.25,-1,7,-0.0357
"9680","C24H44O12","Protein","aliphatic","aliphatic",-0.1667,-0.8333,1.83,0.5,-9,3,-0.375
"9681","C31H44O1N2S2","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.2453,-1.0323,1.42,0.03,6,11,0.1935
"9682","C28H45O7P1","Lipid","aliphatic","aliphatic",0.1064,-1.1071,1.61,0.25,-1,7,-0.0357
"9683","C28H44O9","Protein","aliphatic","aliphatic",0.1064,-0.9286,1.57,0.32,-2,7,-0.0714
"9684","C27H44O8N2","Lipid","aliphatic","aliphatic+N",0.0476,-0.8148,1.63,0.3,-3,7,-0.1111
"9685","C29H48O6S1","Lipid","aliphatic","aliphatic",0.08,-1.1724,1.66,0.21,-1,6,-0.0345
"9686","C25H48O11","Protein","aliphatic","aliphatic",-0.1795,-1.04,1.92,0.44,-9,2,-0.36
"9687","C28H48O5N2S1","Lipid","aliphatic","aliphatic+N",0.0222,-1.0714,1.71,0.18,-2,6,-0.0714
"9688","C29H48O8","Lipid","aliphatic","aliphatic",0.08,-1.1034,1.66,0.28,-2,6,-0.069
"9689","C28H48O7N2","Lipid","aliphatic","aliphatic+N",0.0222,-1,1.71,0.25,-3,6,-0.1071
"9690","C26H52O10","Protein","aliphatic","lipid",-0.1905,-1.2308,2,0.38,-9,1,-0.3462
"9691","C30H52O7","Lipid","aliphatic","aliphatic",0.0566,-1.2667,1.73,0.23,-2,5,-0.0667
"9692","C29H52O6N2","Lipid","aliphatic","aliphatic+N",0,-1.1724,1.79,0.21,-3,5,-0.1034
"9693","C31H56O6","Lipid","aliphatic","aliphatic",0.0357,-1.4194,1.81,0.19,-2,4,-0.0645
"9694","C30H56O5N2","Lipid","aliphatic","aliphatic+N",-0.0196,-1.3333,1.87,0.17,-3,4,-0.1
"9695","C32H60O5","Lipid","aliphatic","aliphatic",0.0169,-1.5625,1.88,0.16,-2,3,-0.0625
"9696","C33H64O4","Lipid","aliphatic","aliphatic",0,-1.697,1.94,0.12,-2,2,-0.0606
"9697","C34H68O3","Lipid","aliphatic","lipid",-0.0154,-1.8235,2,0.09,-2,1,-0.0588
"9698","C22H23O14N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2857,0.3636,1.05,0.64,-3,12,-0.1364
"9699","C23H27O13N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.2258,0.087,1.17,0.57,-3,11,-0.1304
"9700","C16H31O18N1","Other","aliphatic","aliphatic+N",-1.3333,0.5,1.94,1.12,-17,2,-1.0625
"9701","C20H31O15N1","Carb","aliphatic","aliphatic+N",-0.2174,0.1,1.55,0.75,-10,6,-0.5
